word,cnt,freq_per_mil,transcription
a,10445760,23121.244598400343,a
aarón,632,1.398905066379949,a a ɾ o n
ábaco,149,0.329805150143374,a b a k o
abad,973,2.1536940341577377,a b a d
abadesa,97,0.21470536620072,a b a d e s a
abadía,1149,2.5432625336559513,a b a d i a
abajo,105998,234.62205573756617,a b a x o
abalancé,45,0.09960558225806598,a b a l a n s e
abalances,6,0.013280744301075465,a b a l a n s e s
abalanza,144,0.31873786322581116,a b a l a n s a
abalanzaba,23,0.050909519820789284,a b a l a n s a b a
abalanzamos,24,0.05312297720430186,a b a l a n s a m o s
abalanzan,56,0.12395361347670435,a b a l a n s a n
abalanzándose,72,0.15936893161290558,a b a l a n s a n d o s e
abalanzarán,13,0.02877494598566351,a b a l a n s a ɾ a n
abalanzarnos,18,0.039842232903226395,a b a l a n s a ɾ n o s
abalanzaron,43,0.09517866749104083,a b a l a n s a ɾ o n
abalanzarse,146,0.3231647779928363,a b a l a n s a ɾ s e
abalanzarte,28,0.06197680673835217,a b a l a n s a ɾ t e
abalanzas,33,0.07304409365591506,a b a l a n s a s
abalanzaste,20,0.04426914767025155,a b a l a n s a s t e
abalanzo,16,0.03541531813620124,a b a l a n s o
abalanzó,203,0.4493318488530532,a b a l a n s o
abanderada,14,0.030988403369176087,a b a n d e ɾ a d a
abandona,3523,7.798010362114811,a b a n d o n a
abandonaba,220,0.4869606243727671,a b a n d o n a b a
abandonaban,85,0.1881438775985691,a b a n d o n a b a n
abandonabas,20,0.04426914767025155,a b a n d o n a b a s
abandonad,171,0.3785012125806507,a b a n d o n a d
abandonada,2958,6.547406940430204,a b a n d o n a d a
abandonadas,504,1.1155825212903392,a b a n d o n a d a s
abandonado,9484,20.992429825233284,a b a n d o n a d o
abandonados,1406,3.112121081218684,a b a n d o n a d o s
abandónalo,87,0.19257079236559424,a b a n d o n a l o
abandóname,87,0.19257079236559424,a b a n d o n a m e
abandonamos,981,2.171401693225839,a b a n d o n a m o s
abandonan,1240,2.7446871555555963,a b a n d o n a n
abandonando,1242,2.7491140703226216,a b a n d o n a n d o
abandonándolo,32,0.07083063627240248,a b a n d o n a n d o l o
abandonándonos,23,0.050909519820789284,a b a n d o n a n d o n o s
abandonándote,22,0.048696062437276706,a b a n d o n a n d o t e
abandonar,12030,26.627892323656308,a b a n d o n a ɾ
abandonara,522,1.1554247541935654,a b a n d o n a ɾ a
abandonará,922,2.0408077075985966,a b a n d o n a ɾ a
abandonáramos,45,0.09960558225806598,a b a n d o n a ɾ a m o s
abandonaran,131,0.2899629172401476,a b a n d o n a ɾ a n
abandonarán,315,0.6972390758064619,a b a n d o n a ɾ a n
abandonaras,151,0.3342320649103992,a b a n d o n a ɾ a s
abandonarás,346,0.7658562546953518,a b a n d o n a ɾ a s
abandonaré,1218,2.6959910931183195,a b a n d o n a ɾ e
abandonaremos,447,0.9894154504301222,a b a n d o n a ɾ e m o s
abandonaría,695,1.5383528815412413,a b a n d o n a ɾ i a
abandonaríamos,21,0.04648260505376413,a b a n d o n a ɾ i a m o s
abandonarían,88,0.19478424974910682,a b a n d o n a ɾ i a n
abandonarías,273,0.6042738656989336,a b a n d o n a ɾ i a s
abandonarla,1194,2.6428681159140175,a b a n d o n a ɾ l a
abandonarlas,146,0.3231647779928363,a b a n d o n a ɾ l a s
abandonarle,420,0.9296521010752825,a b a n d o n a ɾ l e
abandonarlo,1784,3.9488079721864384,a b a n d o n a ɾ l o
abandonarlos,730,1.6158238899641817,a b a n d o n a ɾ l o s
abandonarme,1718,3.802719784874608,a b a n d o n a ɾ m e
abandonarnos,585,1.294872569354858,a b a n d o n a ɾ n o s
abandonaron,1668,3.6920469156989792,a b a n d o n a ɾ o n
abandonaros,86,0.19035733498208166,a b a n d o n a ɾ o s
abandonarse,138,0.3054571189247357,a b a n d o n a ɾ s e
abandonarte,1152,2.5499029058064893,a b a n d o n a ɾ t e
abandonas,1101,2.4370165792473477,a b a n d o n a s
abandonaste,1992,4.409207107957054,a b a n d o n a s t e
abandónate,90,0.19921116451613197,a b a n d o n a t e
abandone,2321,5.1374345871326925,a b a n d o n e
abandoné,1748,3.869123506379985,a b a n d o n e
abandonemos,336,0.743721680860226,a b a n d o n e m o s
abandonen,1788,3.957661801720489,a b a n d o n e n
abandones,1747,3.8669100489964725,a b a n d o n e s
abandono,2747,6.080367432509051,a b a n d o n o
abandonó,6322,13.993477578566514,a b a n d o n o
abandonos,44,0.09739212487455341,a b a n d o n o s
abanica,88,0.19478424974910682,a b a n i k a
abanícalo,8,0.01770765906810062,a b a n i k a l o
abanícame,36,0.07968446580645279,a b a n i k a m e
abanican,10,0.022134573835125775,a b a n i k a n
abanicando,20,0.04426914767025155,a b a n i k a n d o
abanicar,36,0.07968446580645279,a b a n i k a ɾ
abanicaste,4,0.00885382953405031,a b a n i k a s t e
abanico,707,1.5649143701433923,a b a n i k o
abanicos,127,0.2811090877060973,a b a n i k o s
abaniques,15,0.03320186075268866,a b a n i k e s
abaratas,6,0.013280744301075465,a b a ɾ a t a s
abarató,7,0.015494201684588043,a b a ɾ a t o
abarca,537,1.188626614946254,a b a ɾ k a
abarcaba,40,0.0885382953405031,a b a ɾ k a b a
abarcado,26,0.05754989197132702,a b a ɾ k a d o
