word,transcription,no_spaces_ipa
aberración,aberasʝon,aberasion
abominación,abominasʝon,abominasion
absolución,absolusʝon,absolusion
abstinencia,abstinensʝa,abstinensia
abundancia,abundansʝa,abundansia
acaricia,akaɾisʝa,akaɾisia
acariciar,akaɾisʝaɾ,akaɾisiaɾ
aceleración,aseleɾasʝon,aseleɾasion
aceptación,aseptasʝon,aseptasion
acierta,asʝeɾta,asieɾta
acierto,asʝeɾto,asieɾto
acondicionado,akondisʝonado,akondisionado
acondicionador,akondisʝonadoɾ,akondisionadoɾ
acrobacias,akɾobasʝas,akɾobasias
activación,aktibasʝon,aktibasion
actuaba,aktwaba,aktuaba
actuación,aktwasʝon,aktwasion
actuaciones,aktwasʝones,aktwasiones
actuado,aktwado,aktuado
actualización,aktwalisasʝon,aktwalisasion
actuamos,aktwamos,akuamos
actuar,aktwaɾ,aktuaɾ
actuará,aktwaɾa,aktuaɾa
actuaste,aktwaste,aktuaste
actué,aktwe,aktue
actuemos,aktwemos,aktuemos
actuó,aktwo,aktuo
acumulación,akumulasʝon,akumulasion
acusación,akusasʝon,akusasion
acusaciones,akusasʝones,akusasiones
adaptación,adaptasʝon,adaptasion
adicional,adisʝonal,adisional
adicionales,adisʝonales,adisionales
administración,administɾasʝon,administɾasion
admiración,admiɾasʝon,admiɾasion
adolescencia,adolessensʝa,adolessensia
adopción,adopsʝon,adopsion
adoración,adoɾasʝon,adoɾasion
adquisición,adkisisʝon,adkisision
advertencia,adbeɾtensʝa,adbeɾtensia
advertencias,adbeɾtensʝas,adbeɾtensias
afectuoso,afektwoso,afektuoso
afición,afisʝon,afision
aficionada,afisʝonada,afisionada
aficionado,afisʝonado,afisionado
aficionados,afisʝonados,afisionados
afirmación,afiɾmasʝon,afiɾmasion
afirmaciones,afiɾmasʝones,afiɾmasiones
agencia,axensʝa,axensia
agencias,axensʝas,axensias
agitación,axitasʝon,axitasion
ahí,ai,aʝ
ahumado,aumado,awmado
ahuyentar,auʝentaɾ,awientaɾ
alcahuete,alkaguete,alkawete
aleación,aleasʝon,aleasion
aleluya,aleluʝa,aleluia
alergia,aleɾxʝa,aleɾxia
alergias,aleɾxʝas,aleɾxias
alguien,algʝen,algien
aliada,alʝada,aliada
aliadas,alʝadas,aliadas
aliado,alʝado,aliado
aliados,alʝados,aliados
alianza,alʝansa,aliansa
alianzas,alʝansas,aliansas
alicia,alisʝa,alisia
alimentación,alimentasʝon,alimentasion
alimenticia,alimentisʝa,alimentisia
alineación,alineasʝon,alineasion
alteración,alteɾasʝon,alteɾasion
alteraciones,alteɾasʝones,alteɾasiones
alucinación,alusinasʝon,alusinasion
alucinaciones,alusinasʝones,alusinasiones
ambición,ambisʝon,ambision
ambiciones,ambisʝones,ambisiones
ambiciosa,ambisʝosa,ambisiosa
ambicioso,ambisʝoso,ambisioso
ambiciosos,ambisʝosos,ambisiosos
ambulancia,ambulansʝa,ambulansia
ambulancias,ambulansʝas,ambulansias
ampliación,amplʝasʝon,amplʝasion
anciana,ansʝana,ansiana
ancianas,ansʝanas,ansianas
anciano,ansʝano,ansiano
ancianos,ansʝanos,ansianos
animación,animasʝon,animasion
aniquilación,anikilasʝon,anikilasion
anotación,anotasʝon,anotasion
anotaciones,anotasʝones,anotasiones
anteayer,anteaʝeɾ,anteaieɾ
antelación,antelasʝon,antelasion
anticipación,antisipasʝon,antisipasion
antisocial,antisosʝal,antisosial
anulación,anulasʝon,anulasion
anuncia,anunsʝa,anunsia
anunciado,anunsʝado,anunsiado
anuncian,anunsʝan,anunsian
anunciando,anunsʝando,anunsiando
anunciar,anunsʝaɾ,anunsiaɾ
anunciarles,anunsʝaɾles,anunsiaɾles
anunciarlo,anunsʝaɾlo,anunsiaɾlo
anunciaron,anunsʝaɾon,anunsiaɾon
anuncio,anunsʝo,anunsio
anunció,anunsʝo,anunsio
anuncios,anunsʝos,anunsios
apareciendo,apaɾesʝendo,apaɾesiendo
apareciera,apaɾesʝeɾa,apaɾesieɾa
aparecieron,apaɾesʝeɾon,apaɾesieɾon
apareció,apaɾesʝo,apaɾesio
aparición,apaɾisʝon,apaɾision
apariciones,apaɾisʝones,apaɾisiones
apariencia,apaɾʝensʝa,apaɾʝensia
apariencias,apaɾʝensʝas,apaɾʝensias
apelación,apelasʝon,apelasion
apelaciones,apelasʝones,apelasiones
aplicación,aplikasʝon,aplikasion
aplicaciones,aplikasʝones,aplikasiones
apoya,apoʝa,apoia
apoyaba,apoʝaba,apoiaba
apoyado,apoʝado,apoiado
apoyamos,apoʝamos,apoiamos
apoyan,apoʝan,apoian
apoyando,apoʝando,apoiando
apoyar,apoʝaɾ,apoiaɾ
apoyará,apoʝaɾa,apoiaɾa
apoyaré,apoʝaɾe,apoiaɾe
apoyarla,apoʝaɾla,apoiaɾla
apoyarlo,apoʝaɾlo,apoiaɾlo
apoyarme,apoʝaɾme,apoiaɾme
apoyarnos,apoʝaɾnos,apoiaɾnos
apoyarse,apoʝaɾse,apoiaɾse
apoyarte,apoʝaɾte,apoiaɾte
apoyas,apoʝas,apoias
apóyate,apoʝate,apoiate
apoye,apoʝe,apoie
apoyé,apoʝe,apoie
apoyen,apoʝen,apoien
apoyo,apoʝo,apoio
apoyó,apoʝo,apoio
aprecia,apɾesʝa,apɾesia
apreciaba,apɾesʝaba,apɾesiaba
apreciado,apɾesʝado,apɾesiado
apreciamos,apɾesʝamos,apɾesiamos
aprecian,apɾesʝan,apɾesian
apreciar,apɾesʝaɾ,apɾesiaɾ
apreciaría,apɾesʝaɾia,apɾesiaɾia
apreciarlo,apɾesʝaɾlo,apɾesiaɾlo
aprecias,apɾesʝas,apɾesias
aprecie,apɾesʝe,apɾesie
aprecio,apɾesʝo,apɾesio
aprobación,apɾobasʝon,apɾobasion
aristocracia,aɾistokɾasʝa,aɾistokɾasia
armisticio,aɾmistisʝo,aɾmistisio
arrogancia,arogansʝa,arogansia
arroyo,aroʝo,aroio
arroyos,aroʝos,aroios
articulaciones,aɾtikulasʝones,aɾtikulasiones
artificial,aɾtifisʝal,aɾtifisial
artificiales,aɾtifisʝales,aɾtifisiales
asciende,assʝende,assiende
asignación,asignasʝon,asignasion
asistencia,asistensʝa,asistensia
asociación,asosʝasʝon,asosiasion
asociaciones,asosʝasʝones,asosiasiones
asociada,asosʝada,asosiada
asociado,asosʝado,asosiado
asociados,asosʝados,asosiados
asociarse,asosʝaɾse,asosiaɾse
aspiraciones,aspiɾasʝones,aspiɾasiones
astucia,astusʝa,astusia
atención,atensʝon,atension
atenciones,atensʝones,atensiones
atrayendo,atɾaʝendo,atɾaiendo
audacia,audasʝa,audasia
audición,audisʝon,audision
audiciones,audisʝones,audisiones
audiencia,audʝensʝa,audʝensia
audiencias,audʝensʝas,audʝensias
ausencia,ausensʝa,ausensia
autorización,autoɾisasʝon,autoɾisasion
avaricia,abaɾisʝa,abaɾisia
averiguaciones,abeɾigwasʝones,abeɾigwasiones
aviación,abʝasʝon,abʝasion
ayer,aʝeɾ,aieɾ
ayuda,aʝuda,aiuda
ayudaba,aʝudaba,aiudaba
ayudadme,aʝudadme,aiudadme
ayudado,aʝudado,aiudado
ayúdala,aʝudala,aiudala
ayúdale,aʝudale,aiudale
ayúdalo,aʝudalo,aiudalo
ayúdame,aʝudame,aiudame
ayudamos,aʝudamos,aiudamos
ayudan,aʝudan,aiudan
ayudando,aʝudando,aiudando
ayudándolo,aʝudandolo,aiudandolo
ayudándome,aʝudandome,aiudandome
ayudándonos,aʝudandonos,aiudandonos
ayudándote,aʝudandote,aiudandote
ayúdanos,aʝudanos,aiudanos
ayudante,aʝudante,aiudante
ayudantes,aʝudantes,aiudantes
ayudar,aʝudaɾ,aiudaɾ
ayudara,aʝudaɾa,aiudaɾa
ayudará,aʝudaɾa,aiudaɾa
ayudaran,aʝudaɾan,aiudaɾan
ayudarán,aʝudaɾan,aiudaɾan
ayudarán,aʝudaɾan,aiudaɾan
ayudaras,aʝudaɾas,aiudaɾas
ayudarás,aʝudaɾas,aiudaɾas
ayudarás,aʝudaɾas,aiudaɾas
ayudaré,aʝudaɾe,aiudaɾe
ayudaré,aʝudaɾe,aiudaɾe
ayudaremos,aʝudaɾemos,aiudaɾemos
ayudaría,aʝudaɾia,aiudaɾia
ayudarían,aʝudaɾian,aiudaɾian
ayudarías,aʝudaɾias,aiudaɾias
ayudarla,aʝudaɾla,aiudaɾla
ayudarlas,aʝudaɾlas,aiudaɾlas
ayudarle,aʝudaɾle,aiudaɾle
ayudarles,aʝudaɾles,aiudaɾles
ayudarlo,aʝudaɾlo,aiudaɾlo
ayudarlos,aʝudaɾlos,aiudaɾlos
ayudarme,aʝudaɾme,aiudaɾme
ayudarnos,aʝudaɾnos,aiudaɾnos
ayudaron,aʝudaɾon,aiudaɾon
ayudaros,aʝudaɾos,aiudaɾos
ayudarse,aʝudaɾse,aiudaɾse
ayudarte,aʝudaɾte,aiudaɾte
ayudas,aʝudas,aiudas
ayudaste,aʝudaste,aiudaste
ayude,aʝude,aiude
ayudé,aʝude,aiude
ayúdelo,aʝudelo,aiudelo
ayúdeme,aʝudeme,aiudeme
ayudemos,aʝudemos,aiudemos
ayuden,aʝuden,aiuden
ayúdenlo,aʝudenlo,aiudenlo
ayúdennos,aʝudennos,aiudennos
ayúdenos,aʝudenos,aiudenos
ayudes,aʝudes,aiudes
ayudo,aʝudo,aiudo
ayudó,aʝudo,aiudo
ayuno,aʝuno,aiuno
ayuntamiento,aʝuntamʝento,aiuntamʝento
bahía,baia,baʝa
bayas,baʝas,baias
bayoneta,baʝoneta,baioneta
bayonetas,baʝonetas,baionetas
bendición,bendisʝon,bendision
bendiciones,bendisʝones,bendisiones
beneficencia,benefisensʝa,benefisensia
beneficia,benefisʝa,benefisia
