vowel_stress_word,uni_prob,bi_prob_smoothed,response,exp,condition
ˈtado,-11.688358285110969,-9.193676748555584,1.616862303546594,full_contrast,high
ˈpado,-12.371488396588024,-9.134457109391064,0.9986268691253595,full_contrast,high
ˈkade,-11.898869994070886,-9.357530861651725,0.2929681534873822,full_contrast,high
ˈmado,-12.078102393711784,-9.608232142107902,0.9230105753912009,full_contrast,high
ˈrado,-13.231169776174264,-9.513853537270514,0.6228093818723871,full_contrast,high
ˈtaɾe,-10.94646328244512,-10.22811868258184,0.7021693390664097,full_contrast,high
ˈtade,-11.498600156428722,-10.090890268093826,0.6092578762514237,full_contrast,high
ˈdade,-11.702281009785928,-10.179589129878472,0.6123593412281646,full_contrast,high
ˈtada,-11.494604732526994,-10.274253654033908,0.9448689381426069,full_contrast,high
ˈsaɾo,-10.568546738828864,-10.535898417060697,0.6828110715995361,full_contrast,high
ˈmaɾo,-11.525965519728183,-10.26892870465573,0.8398322896020498,full_contrast,high
ˈsade,-10.930925484130222,-10.77241537405111,0.3059071062731215,full_contrast,high
ˈmade,-11.88834426502954,-10.505445661646142,0.45034947394498165,full_contrast,high
ˈsada,-10.926930060228491,-10.95577875999119,0.3327169705781911,full_contrast,high
ˈjado,-12.410369420519013,-10.556539342668575,0.7914604615726345,full_contrast,high
ˈrade,-13.04141164749202,-10.411067056808754,0.0677444595350615,full_contrast,high
ˈpoɾa,-12.554721854877592,-10.626535226682964,0.5694904977922843,full_contrast,high
ˈteɾa,-11.378435993512802,-10.989906008232095,0.454573633356583,full_contrast,high
ˈgade,-12.882358997064554,-10.60410928138444,0.30632825376546213,full_contrast,high
ˈrada,-13.037416223590292,-10.594430442748836,0.13884738263674118,full_contrast,high
ˈrido,-13.984434558729795,-10.391190979437258,0.7715247205456737,full_contrast,high
ˈxado,-13.526800362448745,-10.552119965626396,0.5371379133795852,full_contrast,high
ˈreɾa,-12.9212474845761,-10.72139940060774,-0.12498114103876125,full_contrast,high
ˈkudo,-14.022344755074185,-10.510363668138112,0.8935688595529261,full_contrast,high
ˈlaɾe,-11.340222680424851,-11.26314713344702,-0.0016175157373656097,full_contrast,high
ˈpamo,-12.557551651831636,-11.05344441162136,0.7492930387263099,full_contrast,high
ˈside,-11.684190266685754,-11.324060155374829,0.18003966961552303,full_contrast,high
ˈfido,-14.256137956758192,-10.64862715831936,0.6934362589819341,full_contrast,high
ˈfado,-13.502873174202664,-10.885613051177035,0.6394483701705936,full_contrast,high
ˈdiɾo,-12.0931670470401,-11.425061393977035,0.6642288682211365,full_contrast,high
ˈpemo,-12.993519786801048,-11.176815653710904,0.0983202707784123,full_contrast,high
ˈrono,-13.844594994816829,-10.972907874619406,0.6543628589110828,full_contrast,high
ˈjade,-12.220611291836768,-11.453752862206816,0.08127148974070578,full_contrast,high
ˈtʃado,-14.568712973924244,-10.828653650595562,0.7468506010161129,full_contrast,high
ˈsise,-10.91283474103005,-11.847787344687202,-0.13501530083919136,full_contrast,high
ˈroɾo,-13.608156787047806,-11.191694437538349,0.3444810440379654,full_contrast,high
ˈride,-13.79467643004755,-11.2884044989755,-0.03619138334056521,full_contrast,high
ˈsase,-10.15956995847452,-12.415348278413449,-0.13355845987095835,full_contrast,high
ˈkude,-13.832586626391938,-11.407577187676353,0.40210552927035115,full_contrast,high
ˈkuse,-13.061231100736236,-11.631483530956654,0.01041932218980771,full_contrast,high
ˈraba,-13.428497193649816,-11.60247498561401,0.562892812248169,full_contrast,high
ˈfeɾa,-13.1929508826045,-11.680987194442002,0.2010810236360392,full_contrast,high
ˈriɾo,-13.432297684746194,-11.653505065710716,-0.03378612140716486,full_contrast,high
ˈsate,-10.727244630773018,-12.550043853276897,0.4732212919596804,full_contrast,high
deˈsa,-10.930925484130222,-12.52418355651594,0.021966478687219307,full_contrast,high
ˈtibe,-12.642945909043776,-12.118895638578485,0.5444698282783804,full_contrast,high
teˈɾa,-10.94646328244512,-12.724725409964355,0.6378778098581855,full_contrast,high
ˈjesa,-11.881228477248747,-12.457272170952626,0.46014804440035567,full_contrast,high
ˈgabe,-13.273439967124077,-12.180351348382452,0.022909172176087258,full_contrast,high
ˈkube,-14.22366759645146,-12.131888456563434,0.5393059313462715,full_contrast,high
ˈbuɾa,-13.470946314281171,-12.367642109173223,0.5528644884417903,full_contrast,high
kaˈno,-12.508299788811721,-12.669081345594236,0.4625815419089447,full_contrast,high
ˈgudo,-15.005833758067851,-11.97398467890277,0.23563943271575005,full_contrast,high
reˈko,-14.167124516634118,-12.3326549060283,0.305301373376642,full_contrast,high
ˈpore,-14.449984790469014,-12.35053053666658,0.4065552697498944,full_contrast,high
ˈfudo,-15.436589806523717,-12.118133266087357,0.4518517152891764,full_contrast,high
ˈledo,-12.518085818060108,-13.06513670441755,0.733491606477295,full_contrast,high
ˈmexe,-13.95907362397952,-12.686900019411596,0.34876110130102705,full_contrast,high
ˈfamo,-13.688936429446278,-12.804600353407334,0.5902314387668092,full_contrast,high
reˈxe,-15.112141006442,-12.386667956782096,0.2268791502508474,full_contrast,high
ˈtigo,-13.621701054945124,-12.856965286475694,0.7728200466343395,full_contrast,high
ˈreba,-13.864465328619223,-12.7905231306595,0.43022963193881025,full_contrast,high
ˈpoxa,-14.741619952841765,-12.617546867030688,0.3934576442858662,full_contrast,high
ˈbexe,-14.16409133879543,-12.764024752378944,-0.10697315417321096,full_contrast,high
ˈfuɾa,-14.690699379956143,-12.637479477849975,0.1767795408952401,full_contrast,high
ˈmere,-13.663443037705042,-12.947964885374176,-0.018256758705361458,full_contrast,high
ˈɲiɲu,-19.588707132835815,-33.99541304277774,-0.16155265342166025,full_contrast,low
ˈɲiru,-18.324826075756473,-34.320705217553765,-0.46858112521299966,full_contrast,low
ˈɲoɲu,-19.76456623513743,-33.603587070405794,-0.6952703941635892,full_contrast,low
ˈɲoɲi,-18.811059562703345,-32.09982253537847,-0.24956408347365824,full_contrast,low
ɲiˈru,-18.55177125308791,-31.5323501685917,-0.638569764795801,full_contrast,low
ɲoˈwi,-17.33356925005294,-31.84301680232879,-0.6709321870404665,full_contrast,low
ɲiˈɲi,-18.635200460401737,-31.001248336281595,-0.17707740023167629,full_contrast,low
ˈɲutʃu,-20.842821123271975,-30.1310934107633,-0.40850588957127626,full_contrast,low
ˈɲowi,-18.293301502161707,-30.80993507665986,-0.7009576309109017,full_contrast,low
ɲiˈwi,-18.117442399860096,-30.655822486403835,-0.8886346023128759,full_contrast,low
ˈɲuɲo,-19.0317791603601,-30.13789333083638,-0.10091307957679528,full_contrast,low
ɲuˈju,-18.684477569866747,-30.165716684798628,-0.4061334899110401,full_contrast,low
ɲoˈdu,-16.428767465574662,-30.307328102770796,-0.6492753573449516,full_contrast,low
ˈɲoɲe,-17.837428284213942,-29.52281850538156,-0.29757458396492104,full_contrast,low
ɲiˈɲo,-18.811059562703345,-29.287253215386627,0.610996174045191,full_contrast,low
ˈɲimu,-17.171758693293995,-29.645829429876215,-0.6108648690796762,full_contrast,low
ˈɲulu,-18.35622583243843,-29.010141372187334,-0.559406595524718,full_contrast,low
ɲuˈbu,-18.557228257875423,-28.25292971648116,-0.5624075212586114,full_contrast,low
ɲuˈsu,-17.3947917621602,-28.19196576970995,-0.6725602844308453,full_contrast,low
ˈwiru,-17.80706801521484,-28.02463681508829,-0.23869273218359527,full_contrast,low
ˈtʃuɲu,-20.842821123271975,-26.71682394753379,-0.16685478536362489,full_contrast,low
woˈwo,-16.991670291812916,-27.441005403948324,-0.7549613306556415,full_contrast,low
woˈwi,-16.815811189511304,-27.43223392710219,-0.7946424552745567,full_contrast,low
weˈwo,-16.801912163130673,-27.39561214706802,-0.4023285287673075,full_contrast,low
weˈwi,-16.62605306082906,-27.386840670221886,-0.579902720919673,full_contrast,low
woˈju,-16.429339687083868,-27.301582023679845,-0.5746530885142728,full_contrast,low
ˈɲati,-15.07524312970356,-27.44467694581504,-0.42732361703220373,full_contrast,low
ˈwoju,-17.1621267618612,-26.69211629227248,-0.8148715524869055,full_contrast,low
ɲuˈtʃe,-19.34507262592033,-25.942346827790516,-0.4718788369708279,full_contrast,low
woˈwa,-16.062546406955775,-26.80468784828203,-0.7058439575831071,full_contrast,low
ˈwowi,-17.775543441620073,-26.23663327193548,-0.5802048715338841,full_contrast,low
ˈmuɲu,-18.352210543059517,-25.821672528156117,-0.1342327420415134,full_contrast,low
ɲuˈja,-16.750760937545692,-26.233431130252903,-0.6395998423161394,full_contrast,low
ˈwodu,-16.643796479810355,-26.254301874470286,-0.7154894976609211,full_contrast,low
ɲuˈga,-17.412508642773478,-25.97375049375524,-0.5780635490561736,full_contrast,low
ˈwiri,-16.85356134278075,-26.107309961720173,-0.3759162232756554,full_contrast,low
ˈwiwi,-17.59968433931846,-25.7872404299966,-0.5914991368624145,full_contrast,low
ˈɲibi,-16.423269735675817,-26.042513041972292,-0.44967974176746,full_contrast,low
ˈruɲu,-19.505277925522,-25.074197963261344,-0.2678091807268809,full_contrast,low
weˈju,-16.239581558401625,-26.052215962473607,0.4463951343686077,full_contrast,low
ˈwopu,-17.12324573793021,-25.727948271598027,-0.6883688309023661,full_contrast,low
tʃuˈɲe,-19.34507262592033,-24.85101318023355,-0.19276296487185945,full_contrast,low
ˈwobu,-17.034877449869878,-25.41385760338727,-0.8451049426617906,full_contrast,low
ˈwawi,-16.846419556762932,-25.358823026286775,-0.7110423582533,full_contrast,low
ˈniru,-15.406115714756456,-25.754389487542127,-0.2650149079745331,full_contrast,low
ˈwotu,-16.440115626453153,-25.3151245196922,-0.9238014139089629,full_contrast,low
ˈwolu,-16.83387502443288,-25.185847525581995,-0.6737657488461878,full_contrast,low
ˈwomu,-16.82985973505397,-24.992544564345007,-0.6304713931099489,full_contrast,low
wiˈwi,-17.59968433931846,-24.671533707969196,-0.5422221600864582,full_contrast,low
ˈwowo,-16.991670291812916,-24.73696322424365,-0.8643462704946316,full_contrast,low
ˈwowe,-16.801912163130673,-24.305148373509255,-0.8571581981351385,full_contrast,low
ˈwiwo,-16.815811189511304,-24.28757038230477,-0.7226903888410928,full_contrast,low
ˈwoɾu,-16.091659605826756,-24.454391982908753,-0.5316088937866329,full_contrast,low
ɲoˈsa,-13.723695307597904,-25.139079703373437,-0.3223904764768879,full_contrast,low
ˈwaju,-16.233002877004058,-24.385736202355655,-0.3753915512996548,full_contrast,low
luˈɲa,-16.42250920011738,-24.26163827480079,0.10252837422188796,full_contrast,low
ˈliru,-15.911892925593564,-24.297807538773483,-0.5019301156136884,full_contrast,low
ˈwewi,-17.282387691732342,-23.81478651865165,-0.8462126917095368,full_contrast,low
ˈwopi,-16.169739065496124,-24.084170506343987,-0.8729291836551795,full_contrast,low
xuˈɲe,-18.30316001444483,-23.019315505355973,-0.18552969099607483,full_contrast,low
ˈtʃutʃu,-20.916483263942613,-22.13308354153351,0.17024382325574136,full_contrast,low
ˈtʃuɲe,-18.91568317234849,-22.63605538250955,-0.1299619579278812,full_contrast,low
ˈniwi,-15.198732038860078,-23.51699310245045,-0.7745380238720452,full_contrast,low
xuˈɲo,-18.796315764332565,-22.499289154758543,0.18955836839066872,full_contrast,low
ˈtʃuɲa,-18.911687748446763,-22.426823850862,0.184066768407164,full_contrast,low
geˈwi,-15.720877413863883,-23.294090937260016,-0.8382973117092561,full_contrast,low
ˈfutʃa,-17.919510089395818,-13.8854646254003,0.3410071286801554,bi_contrast,high
kuˈtʃo,-17.431805665307586,-13.288559051789074,0.32774037611049806,bi_contrast,high
ˈrutʃa,-17.647806691367418,-13.616459908157042,0.18950373351823285,bi_contrast,high
ˈfutʃo,-18.11326364197979,-14.26070919110087,0.4199180780156071,bi_contrast,high
ˈrutʃo,-17.84156024395139,-13.991704473857611,0.515900847941247,bi_contrast,high
ˈkutʃa,-16.505265037946284,-12.277695027451056,0.15065248609910087,bi_contrast,high
ˈkutʃo,-16.699018590530255,-12.652939593151627,0.5865831703436417,bi_contrast,high
ˈgutʃa,-17.488754040939952,-13.741316038215714,0.025116111055035067,bi_contrast,high
ˈputʃa,-16.78812531178118,-12.925122837213516,0.42509169169829253,bi_contrast,high
ˈgutʃo,-17.682507593523923,-14.116560603916286,0.6952492255858166,bi_contrast,high
ruˈtʃo,-18.574347318728723,-15.306791009150924,0.41676283345700343,bi_contrast,high
puˈtʃo,-17.71466593914248,-14.233103740547987,0.4839655202936074,bi_contrast,high
ˈputʃo,-16.98187886436515,-13.300367402914087,0.7748381034427595,bi_contrast,high
xuˈtʃo,-18.8699779050032,-15.740248931891784,0.3995028278678989,bi_contrast,high
ˈkutʃe,-16.50926046184801,-13.186382908851815,0.24746791693713682,bi_contrast,high
fuˈtʃe,-18.352894966869385,-15.592939876006708,-0.27707814863125313,bi_contrast,high
ˈtʃado,-14.568712973924244,-10.828653650595562,0.7468506010161129,bi_contrast,high
ˈbutʃa,-16.699757023720846,-13.615627256723544,0.4502623582562437,bi_contrast,high
ˈfudo,-15.436589806523717,-12.118133266087357,0.4518517152891764,bi_contrast,high
ˈfido,-14.256137956758192,-10.64862715831936,0.6934362589819341,bi_contrast,high
ˈrido,-13.984434558729795,-10.391190979437258,0.7715247205456737,bi_contrast,high
ˈkudo,-14.022344755074185,-10.510363668138112,0.8935688595529261,bi_contrast,high
ˈrado,-13.231169776174264,-9.513853537270514,0.6228093818723871,bi_contrast,high
fuˈtʃu,-19.85064346422103,-18.135561404547193,-0.15921678379560444,bi_contrast,high
ˈretʃa,-16.150058194015774,-13.35461177380742,0.4050274038201095,bi_contrast,high
ˈgudo,-15.005833758067851,-11.97398467890277,0.23563943271575005,bi_contrast,high
ˈkuxe,-15.467347850372509,-12.628103708654542,-0.11320891548422633,bi_contrast,high
ˈrotʃa,-16.643213943903508,-14.208678380224802,0.5281740615116715,bi_contrast,high
ruˈtʃe,-18.08119156884099,-16.08464646905046,0.22544310588060223,bi_contrast,high
