word,result
pa.pa,1
pa.'pa,1
pa.pi,1
pa.'pi,
pa.pu,
pa.'pu,
pa.pe,
pa.'pe,
pa.po,
pa.'po,
pa.ta,1
pa.'ta,
pa.ti,
pa.'ti,
pa.tu,
pa.'tu,
pa.te,
pa.'te,
pa.to,1
pa.'to,
pa.ka,
pa.'ka,
pa.ki,
pa.'ki,
pa.ku,
pa.'ku,
pa.ke,
pa.'ke,
pa.ko,
pa.'ko,
pa.ba,
pa.'ba,
pa.bi,
pa.'bi,
pa.bu,
pa.'bu,
pa.be,
pa.'be,
pa.bo,1
pa.'bo,
pa.da,
pa.'da,
pa.di,
pa.'di,
pa.du,
pa.'du,
pa.de,
pa.'de,
pa.do,
pa.'do,
pa.ga,1
pa.'ga,
pa.gi,
pa.'gi,
pa.gu,
pa.'gu,
pa.ge,
pa.'ge,1
pa.go,1
pa.'go,1
pa.fa,
pa.'fa,
pa.fi,
pa.'fi,
pa.fu,
pa.'fu,
pa.fe,
pa.'fe,
pa.fo,
pa.'fo,
pa.sa,1
pa.'sa,
pa.si,
pa.'si,
pa.su,
pa.'su,
pa.se,
pa.'se,1
pa.so,1
pa.'so,1
pa.xa,
pa.'xa,
pa.xi,
pa.'xi,
pa.xu,
pa.'xu,
pa.xe,
pa.'xe,
pa.xo,
pa.'xo,
pa.ma,
pa.'ma,
pa.mi,
pa.'mi,
pa.mu,
pa.'mu,
pa.me,
pa.'me,
pa.mo,
pa.'mo,
pa.na,
pa.'na,
pa.ni,
pa.'ni,
pa.nu,
pa.'nu,
pa.ne,
pa.'ne,
pa.no,
pa.'no,
pa.ɲa,
pa.'ɲa,
pa.ɲi,
pa.'ɲi,
pa.ɲu,
pa.'ɲu,
pa.ɲe,
pa.'ɲe,
pa.ɲo,
pa.'ɲo,
pa.ra,1
pa.'ra,
pa.ri,
pa.'ri,
pa.ru,
pa.'ru,
pa.re,
pa.'re,
pa.ro,
pa.'ro,
pa.ʧa,
pa.'ʧa,
pa.ʧi,
pa.'ʧi,
pa.ʧu,
pa.'ʧu,
pa.ʧe,
pa.'ʧe,
pa.ʧo,
pa.'ʧo,
pa.ʝa,1
pa.'ʝa,
pa.ʝi,
pa.'ʝi,
pa.ʝu,
pa.'ʝu,
pa.ʝe,
pa.'ʝe,
pa.ʝo,
pa.'ʝo,
pa.wa,
pa.'wa,
pa.wi,
pa.'wi,
pa.wu,
pa.'wu,
pa.we,
pa.'we,
pa.wo,
pa.'wo,
pa.la,1
pa.'la,
pa.li,
pa.'li,
pa.lu,
pa.'lu,
pa.le,
pa.'le,
pa.lo,1
pa.'lo,1
pa.ɾa,1
pa.'ɾa,
pa.ɾi,
pa.'ɾi,1
pa.ɾu,
pa.'ɾu,
pa.ɾe,1
pa.'ɾe,1
pa.ɾo,1
pa.'ɾo,1
pi.pa,1
pi.'pa,
pi.pi,
pi.'pi,1
pi.pu,
pi.'pu,
pi.pe,
pi.'pe,
pi.po,
pi.'po,
pi.ta,
pi.'ta,
pi.ti,
pi.'ti,
pi.tu,
pi.'tu,
pi.te,
pi.'te,
pi.to,1
pi.'to,1
pi.ka,1
pi.'ka,
pi.ki,
pi.'ki,
pi.ku,
pi.'ku,
pi.ke,
pi.'ke,1
pi.ko,1
pi.'ko,1
pi.ba,1
pi.'ba,
pi.bi,
pi.'bi,
pi.bu,
pi.'bu,
pi.be,
pi.'be,
pi.bo,
pi.'bo,
pi.da,1
pi.'da,
pi.di,
pi.'di,
pi.du,
pi.'du,
pi.de,1
pi.'de,1
pi.do,1
pi.'do,1
pi.ga,
pi.'ga,
pi.gi,
pi.'gi,
pi.gu,
pi.'gu,
pi.ge,
pi.'ge,
pi.go,
pi.'go,
pi.fa,
pi.'fa,
pi.fi,
pi.'fi,
pi.fu,
pi.'fu,
pi.fe,
pi.'fe,
pi.fo,
pi.'fo,
pi.sa,1
pi.'sa,
pi.si,
pi.'si,
pi.su,
pi.'su,
pi.se,1
pi.'se,1
pi.so,1
pi.'so,1
pi.xa,
pi.'xa,
pi.xi,
pi.'xi,
pi.xu,
pi.'xu,
pi.xe,
pi.'xe,
pi.xo,
pi.'xo,
pi.ma,
pi.'ma,
pi.mi,
pi.'mi,
pi.mu,
pi.'mu,
pi.me,
pi.'me,
pi.mo,
pi.'mo,
pi.na,
pi.'na,
pi.ni,
pi.'ni,
pi.nu,
pi.'nu,
pi.ne,
pi.'ne,
pi.no,1
pi.'no,
pi.ɲa,1
pi.'ɲa,
pi.ɲi,
pi.'ɲi,
pi.ɲu,
pi.'ɲu,
pi.ɲe,
pi.'ɲe,
pi.ɲo,
pi.'ɲo,
pi.ra,
pi.'ra,
pi.ri,
pi.'ri,
pi.ru,
pi.'ru,
pi.re,
pi.'re,
pi.ro,
pi.'ro,
pi.ʧa,
pi.'ʧa,
pi.ʧi,
pi.'ʧi,
pi.ʧu,
pi.'ʧu,
pi.ʧe,
pi.'ʧe,
pi.ʧo,
pi.'ʧo,
pi.ʝa,1
pi.'ʝa,
pi.ʝi,
pi.'ʝi,
pi.ʝu,
pi.'ʝu,
pi.ʝe,1
pi.'ʝe,1
pi.ʝo,1
pi.'ʝo,1
pi.wa,
pi.'wa,
pi.wi,
pi.'wi,
pi.wu,
pi.'wu,
pi.we,
pi.'we,
pi.wo,
pi.'wo,
pi.la,1
pi.'la,
pi.li,
pi.'li,
pi.lu,
pi.'lu,
pi.le,
pi.'le,
pi.lo,
pi.'lo,
pi.ɾa,1
pi.'ɾa,
pi.ɾi,
pi.'ɾi,
pi.ɾu,
pi.'ɾu,
pi.ɾe,1
pi.'ɾe,1
pi.ɾo,1
pi.'ɾo,1
pu.pa,
pu.'pa,
pu.pi,
pu.'pi,
pu.pu,
pu.'pu,
pu.pe,
pu.'pe,
pu.po,
pu.'po,
pu.ta,1
pu.'ta,
pu.ti,
pu.'ti,
pu.tu,
pu.'tu,
pu.te,
pu.'te,
pu.to,1
pu.'to,
pu.ka,
pu.'ka,
pu.ki,
pu.'ki,
pu.ku,
pu.'ku,
pu.ke,
pu.'ke,
pu.ko,
pu.'ko,
pu.ba,
pu.'ba,
pu.bi,
pu.'bi,
pu.bu,
pu.'bu,
pu.be,
pu.'be,
pu.bo,
pu.'bo,
pu.da,
pu.'da,
pu.di,
pu.'di,1
pu.du,
pu.'du,
pu.de,1
pu.'de,1
pu.do,1
pu.'do,1
pu.ga,
pu.'ga,
pu.gi,
pu.'gi,
pu.gu,
pu.'gu,
pu.ge,
pu.'ge,
pu.go,
pu.'go,
pu.fa,
pu.'fa,
pu.fi,
pu.'fi,
pu.fu,
pu.'fu,
pu.fe,
pu.'fe,
pu.fo,
pu.'fo,
pu.sa,
pu.'sa,
pu.si,
pu.'si,1
pu.su,
pu.'su,
pu.se,1
pu.'se,1
pu.so,1
pu.'so,1
pu.xa,
pu.'xa,
pu.xi,
pu.'xi,
pu.xu,
pu.'xu,
pu.xe,
pu.'xe,
pu.xo,
pu.'xo,
pu.ma,1
pu.'ma,
pu.mi,
pu.'mi,
pu.mu,
pu.'mu,
pu.me,
pu.'me,
pu.mo,
pu.'mo,
pu.na,
pu.'na,
pu.ni,
pu.'ni,
pu.nu,
pu.'nu,
pu.ne,
pu.'ne,
pu.no,
pu.'no,
pu.ɲa,
pu.'ɲa,
pu.ɲi,
pu.'ɲi,
pu.ɲu,
pu.'ɲu,
pu.ɲe,
pu.'ɲe,
pu.ɲo,1
pu.'ɲo,
pu.ra,
pu.'ra,
pu.ri,
pu.'ri,
pu.ru,
pu.'ru,
pu.re,
pu.'re,
pu.ro,
pu.'ro,
pu.ʧa,
pu.'ʧa,
pu.ʧi,
pu.'ʧi,
pu.ʧu,
pu.'ʧu,
pu.ʧe,
pu.'ʧe,
pu.ʧo,
pu.'ʧo,
pu.ʝa,
pu.'ʝa,
pu.ʝi,
pu.'ʝi,
pu.ʝu,
pu.'ʝu,
pu.ʝe,
pu.'ʝe,
pu.ʝo,
pu.'ʝo,
pu.wa,
pu.'wa,
pu.wi,
pu.'wi,
pu.wu,
pu.'wu,
pu.we,
pu.'we,
pu.wo,
pu.'wo,
pu.la,
pu.'la,
pu.li,
pu.'li,
pu.lu,
pu.'lu,
pu.le,
pu.'le,
pu.lo,
pu.'lo,
pu.ɾa,1
pu.'ɾa,
pu.ɾi,
pu.'ɾi,
pu.ɾu,
pu.'ɾu,
pu.ɾe,
pu.'ɾe,1
pu.ɾo,1
pu.'ɾo,
pe.pa,1
pe.'pa,
pe.pi,
pe.'pi,
pe.pu,
pe.'pu,
pe.pe,
pe.'pe,
pe.po,
pe.'po,
pe.ta,
pe.'ta,
pe.ti,
pe.'ti,
pe.tu,
pe.'tu,
pe.te,
pe.'te,
pe.to,1
pe.'to,
pe.ka,
pe.'ka,
pe.ki,
pe.'ki,
pe.ku,
pe.'ku,
pe.ke,1
pe.'ke,1
pe.ko,1
pe.'ko,1
pe.ba,
pe.'ba,
pe.bi,
pe.'bi,
pe.bu,
pe.'bu,
pe.be,
pe.'be,
pe.bo,
pe.'bo,
pe.da,
pe.'da,
pe.di,
pe.'di,1
pe.du,
pe.'du,
pe.de,
pe.'de,
pe.do,1
pe.'do,
pe.ga,1
pe.'ga,
pe.gi,
pe.'gi,
pe.gu,
pe.'gu,
pe.ge,1
pe.'ge,1
pe.go,1
pe.'go,1
pe.fa,
pe.'fa,
pe.fi,
pe.'fi,
pe.fu,
pe.'fu,
pe.fe,
pe.'fe,
pe.fo,
pe.'fo,
pe.sa,1
pe.'sa,
pe.si,
pe.'si,
pe.su,
pe.'su,
pe.se,
pe.'se,1
pe.so,1
pe.'so,1
pe.xa,
pe.'xa,
pe.xi,
pe.'xi,
pe.xu,
pe.'xu,
pe.xe,
pe.'xe,
pe.xo,
pe.'xo,
pe.ma,
pe.'ma,
pe.mi,
pe.'mi,
pe.mu,
pe.'mu,
pe.me,
pe.'me,
pe.mo,
pe.'mo,
pe.na,1
pe.'na,
pe.ni,
pe.'ni,
pe.nu,
pe.'nu,
pe.ne,1
pe.'ne,
pe.no,
pe.'no,
pe.ɲa,
pe.'ɲa,
pe.ɲi,
pe.'ɲi,
pe.ɲu,
pe.'ɲu,
pe.ɲe,
pe.'ɲe,
pe.ɲo,
pe.'ɲo,
pe.ra,1
pe.'ra,
pe.ri,
pe.'ri,
pe.ru,
pe.'ru,
pe.re,
pe.'re,
pe.ro,1
pe.'ro,
pe.ʧa,
pe.'ʧa,
pe.ʧi,
pe.'ʧi,
pe.ʧu,
pe.'ʧu,
pe.ʧe,
pe.'ʧe,
pe.ʧo,1
pe.'ʧo,
pe.ʝa,
pe.'ʝa,
pe.ʝi,
pe.'ʝi,
pe.ʝu,
pe.'ʝu,
pe.ʝe,
pe.'ʝe,
pe.ʝo,
pe.'ʝo,
pe.wa,
pe.'wa,
pe.wi,
pe.'wi,
pe.wu,
pe.'wu,
pe.we,
pe.'we,
pe.wo,
pe.'wo,
pe.la,1
pe.'la,
pe.li,1
pe.'li,
pe.lu,
pe.'lu,
pe.le,
pe.'le,
pe.lo,1
pe.'lo,1
pe.ɾa,1
pe.'ɾa,
pe.ɾi,
pe.'ɾi,
pe.ɾu,
pe.'ɾu,
pe.ɾe,
pe.'ɾe,
pe.ɾo,1
pe.'ɾo,
po.pa,1
po.'pa,
po.pi,
po.'pi,
po.pu,
po.'pu,
po.pe,
po.'pe,
po.po,
po.'po,
po.ta,1
po.'ta,
po.ti,
po.'ti,
po.tu,
po.'tu,
po.te,1
po.'te,
po.to,
po.'to,
po.ka,1
po.'ka,
po.ki,
po.'ki,
po.ku,
po.'ku,
po.ke,
po.'ke,
po.ko,1
po.'ko,
po.ba,
po.'ba,
po.bi,
po.'bi,
po.bu,
po.'bu,
po.be,
po.'be,
po.bo,
po.'bo,
po.da,
po.'da,
po.di,
po.'di,1
po.du,
po.'du,
po.de,
po.'de,
po.do,
po.'do,
po.ga,
po.'ga,
po.gi,
po.'gi,
po.gu,
po.'gu,
po.ge,
po.'ge,
po.go,
po.'go,
po.fa,
po.'fa,
po.fi,
po.'fi,
po.fu,
po.'fu,
po.fe,
po.'fe,
po.fo,
po.'fo,
po.sa,1
po.'sa,
po.si,
po.'si,
po.su,
po.'su,
po.se,1
po.'se,
po.so,
po.'so,
po.xa,
po.'xa,
po.xi,
po.'xi,
po.xu,
po.'xu,
po.xe,
po.'xe,
po.xo,
po.'xo,
po.ma,1
po.'ma,
po.mi,
po.'mi,
po.mu,
po.'mu,
po.me,
po.'me,
po.mo,
po.'mo,
po.na,
po.'na,
po.ni,
po.'ni,
po.nu,
po.'nu,
po.ne,1
po.'ne,
po.no,
po.'no,
po.ɲa,
po.'ɲa,
po.ɲi,
po.'ɲi,
po.ɲu,
po.'ɲu,
po.ɲe,
po.'ɲe,
po.ɲo,
po.'ɲo,
po.ra,
po.'ra,
po.ri,
po.'ri,
po.ru,
po.'ru,
po.re,
po.'re,
po.ro,1
po.'ro,
po.ʧa,
po.'ʧa,
po.ʧi,
po.'ʧi,
po.ʧu,
po.'ʧu,
po.ʧe,
po.'ʧe,
po.ʧo,
po.'ʧo,
po.ʝa,
po.'ʝa,
po.ʝi,
po.'ʝi,
po.ʝu,
po.'ʝu,
po.ʝe,
po.'ʝe,
po.ʝo,
po.'ʝo,
po.wa,
po.'wa,
po.wi,
po.'wi,
po.wu,
po.'wu,
po.we,
po.'we,
po.wo,
po.'wo,
po.la,
po.'la,
po.li,1
po.'li,
po.lu,
po.'lu,
po.le,
po.'le,
po.lo,1
po.'lo,
po.ɾa,
po.'ɾa,
po.ɾi,
po.'ɾi,
po.ɾu,
po.'ɾu,
po.ɾe,
po.'ɾe,
po.ɾo,1
po.'ɾo,
ta.pa,1
ta.'pa,
ta.pi,
ta.'pi,
ta.pu,
ta.'pu,
ta.pe,
ta.'pe,1
ta.po,
ta.'po,1
ta.ta,
ta.'ta,
ta.ti,
ta.'ti,
ta.tu,1
ta.'tu,
ta.te,
ta.'te,
ta.to,
ta.'to,
ta.ka,
ta.'ka,
ta.ki,
ta.'ki,
ta.ku,
ta.'ku,
ta.ke,
ta.'ke,
ta.ko,
ta.'ko,
ta.ba,
ta.'ba,
ta.bi,
ta.'bi,
ta.bu,
ta.'bu,1
ta.be,
ta.'be,
ta.bo,
ta.'bo,
ta.da,
ta.'da,
ta.di,
ta.'di,
ta.du,
ta.'du,
ta.de,
ta.'de,
ta.do,
ta.'do,
ta.ga,
ta.'ga,
ta.gi,
ta.'gi,
ta.gu,
ta.'gu,
ta.ge,
ta.'ge,
ta.go,
ta.'go,
ta.fa,
ta.'fa,
ta.fi,
ta.'fi,
ta.fu,
ta.'fu,
ta.fe,
ta.'fe,
ta.fo,
ta.'fo,
ta.sa,1
ta.'sa,
ta.si,
ta.'si,
ta.su,
ta.'su,
ta.se,
ta.'se,
ta.so,
ta.'so,
ta.xa,
ta.'xa,
ta.xi,
ta.'xi,
ta.xu,
ta.'xu,
ta.xe,
ta.'xe,
ta.xo,
ta.'xo,
ta.ma,
ta.'ma,
ta.mi,
ta.'mi,
ta.mu,
ta.'mu,
ta.me,
ta.'me,
ta.mo,
ta.'mo,
ta.na,
ta.'na,
ta.ni,
ta.'ni,
ta.nu,
ta.'nu,
ta.ne,
ta.'ne,
ta.no,
ta.'no,
ta.ɲa,
ta.'ɲa,
ta.ɲi,
ta.'ɲi,
ta.ɲu,
ta.'ɲu,
ta.ɲe,
ta.'ɲe,
ta.ɲo,
ta.'ɲo,
ta.ra,
ta.'ra,
ta.ri,
ta.'ri,
ta.ru,
ta.'ru,
ta.re,
ta.'re,
ta.ro,
ta.'ro,
ta.ʧa,1
ta.'ʧa,
ta.ʧi,
ta.'ʧi,
ta.ʧu,
ta.'ʧu,
ta.ʧe,1
ta.'ʧe,1
ta.ʧo,1
ta.'ʧo,1
ta.ʝa,1
ta.'ʝa,
ta.ʝi,
ta.'ʝi,
ta.ʝu,
ta.'ʝu,
ta.ʝe,1
ta.'ʝe,1
ta.ʝo,1
ta.'ʝo,1
ta.wa,
ta.'wa,
ta.wi,
ta.'wi,
ta.wu,
ta.'wu,
ta.we,
ta.'we,
ta.wo,
ta.'wo,
ta.la,
ta.'la,
ta.li,
ta.'li,
ta.lu,
ta.'lu,
ta.le,
ta.'le,
ta.lo,
ta.'lo,
ta.ɾa,
ta.'ɾa,
ta.ɾi,
ta.'ɾi,
ta.ɾu,
ta.'ɾu,
ta.ɾe,
ta.'ɾe,
ta.ɾo,
ta.'ɾo,
ti.pa,1
ti.'pa,
ti.pi,
ti.'pi,
ti.pu,
ti.'pu,
ti.pe,
ti.'pe,
ti.po,1
ti.'po,
ti.ta,
ti.'ta,
ti.ti,
ti.'ti,
ti.tu,
ti.'tu,
ti.te,
ti.'te,
ti.to,
ti.'to,
ti.ka,
ti.'ka,
ti.ki,
ti.'ki,
ti.ku,
ti.'ku,
ti.ke,
ti.'ke,
ti.ko,
ti.'ko,
ti.ba,
ti.'ba,
ti.bi,
ti.'bi,
ti.bu,
ti.'bu,
ti.be,
ti.'be,
ti.bo,
ti.'bo,
ti.da,
ti.'da,
ti.di,
ti.'di,
ti.du,
ti.'du,
ti.de,
ti.'de,
ti.do,
ti.'do,
ti.ga,
ti.'ga,
ti.gi,
ti.'gi,
ti.gu,
ti.'gu,
ti.ge,
ti.'ge,
ti.go,
ti.'go,
ti.fa,
ti.'fa,
ti.fi,
ti.'fi,
ti.fu,
ti.'fu,
ti.fe,
