word,bucket_q,uni_prob,bi_prob_smoothed
t i f1 i1,uni3-bi3,-15.53431006187324,-16.245208032992828
s1 i1 x i,uni3-bi3,-15.498789941673088,-15.947330029484243
f1 i1 t i,uni3-bi3,-15.53431006187324,-15.66433218807559
t u l1 e1,uni3-bi3,-15.542713981269884,-15.035859224986702
p1 a1 f e,uni3-bi3,-15.497114376498216,-14.765387917355488
f1 o1 i e,uni3-bi3,-15.301173172030976,-16.244998330145293
i u t1 o1,uni3-bi3,-15.321294946245205,-15.926429308857765
r a p1 i1,uni3-bi3,-15.318139887080054,-15.667195210122667
l1 e1 g e,uni3-bi3,-15.309674654075444,-15.337168454848593
u1 a1 x e,uni3-bi3,-15.298777448629018,-15.022055578734449
d e m1 u1,uni3-bi3,-15.156712847900256,-16.2670430848589
g1 a1 m i,uni3-bi3,-15.134914284831982,-15.962597271660098
d o l1 u1,uni3-bi3,-15.136200270893584,-15.660725255137256
s e t͡ʃ1 e1,uni3-bi3,-15.13918999319486,-15.36442809367368
f a l1 a1,uni3-bi3,-15.141359816094024,-15.04454766003782
d1 e1 g e,uni3-bi3,-15.156023599539616,-14.748832076356306
g o t1 e1,uni3-bi3,-14.968199703141671,-15.634764159614283
t e r1 i1,uni3-bi3,-14.97241651300033,-15.058949908510474
x e ɾ1 o1,uni3-bi3,-14.932569657226969,-14.742006746532516
d e d1 u1,uni3-bi3,-14.793807354210887,-16.23978328913868
i a r1 i1,uni3-bi3,-14.776803510385516,-15.919480734209472
d1 o1 ɾ i,uni3-bi3,-14.771409563545078,-15.6542879946753
t u ɾ1 o1,uni3-bi3,-14.747729473164863,-15.343588645885204
s u p1 a1,uni3-bi3,-14.772082631408605,-15.052569221359647
t1 e1 g e,uni3-bi3,-14.779457840994802,-14.763887335858158
i1 o1 g e,uni3-bi3,-14.5725040133125,-16.25274146528177
b a s1 u1,uni3-bi3,-14.639496742245557,-15.651658925828189
l u ɾ1 e1,uni3-bi3,-14.590920330389345,-15.321791013360627
b1 e1 p o,uni3-bi3,-14.583306778422962,-15.025119226268922
k i b1 i1,uni3-bi3,-14.5776206476696,-14.7340581196849
u1 i1 r u,uni2-bi1,-16.78192259388863,-26.917737098533586
u1 o1 p u,uni2-bi1,-16.64475848480466,-25.783616275570573
l1 i1 r u,uni2-bi1,-16.7810480857437,-24.310896006029992
b1 i1 r u,uni2-bi1,-16.84000779185423,-22.86713320571026
t1 e1 f u,uni2-bi1,-16.85452539584764,-21.38356425205841
m1 u1 t u,uni2-bi1,-16.816920477437538,-19.987561957806783
u1 o1 i u,uni2-bi1,-15.852386267470775,-27.43391994615442
u1 o1 d u,uni2-bi1,-16.191659626371703,-26.119053353380316
g i u1 o1,uni2-bi1,-16.52453530119095,-24.141960383977384
f1 e1 i u,uni2-bi1,-16.61049355934656,-22.98304400874983
