word,bucket_q,uni_prob,bi_prob_smoothed
f i ɾ1 o1,uni3-bi4,-15.49546507329967,-14.175974738178224
r e p1 e1,uni3-bi4,-15.495643759644594,-13.43279631868264
r1 e1 d o,uni3-bi4,-15.48232260399785,-12.662203414029896
k1 u1 b e,uni3-bi4,-15.492805306248986,-11.865956821618209
r1 i1 d o,uni3-bi4,-15.309750322514796,-10.942813575745364
k1 u1 d o,uni3-bi4,-15.213878352258408,-10.482144453740638
g1 o1 m e,uni3-bi4,-15.349537749887896,-14.194921453353455
d i m1 o1,uni3-bi4,-15.30574692985672,-13.405110154814023
m1 e1 r e,uni3-bi4,-15.354075229475422,-12.653522584487735
b1 i1 g o,uni3-bi4,-15.384803940849787,-11.934023041509064
r1 e1 ɾ a,uni3-bi4,-15.117217278147224,-11.373288411622804
f1 i1 d o,uni3-bi4,-15.157136922006424,-10.480345148866052
f1 e1 d a,uni3-bi4,-15.136035750261124,-14.20532500588691
k o r1 a1,uni3-bi4,-15.146891301078192,-13.402486092239691
r e l1 e1,uni3-bi4,-15.14482079032188,-12.68512084514696
r1 e1 ɾ e,uni3-bi4,-15.122148869228706,-11.873272406439034
k1 u1 d e,uni3-bi4,-15.025136490111535,-11.375726249411573
f1 a1 d o,uni3-bi4,-14.900057978641575,-10.715068878639622
s u b1 e1,uni3-bi4,-14.909870593044324,-14.224660741037754
r1 a1 k a,uni3-bi4,-14.953217847849835,-13.450213445663753
p1 o1 l a,uni3-bi4,-14.921955019009305,-12.629792893311684
d i d1 o1,uni3-bi4,-14.94284143616735,-11.939405363081947
r1 a1 d a,uni3-bi4,-14.858997925921592,-10.97533356484639
x1 a1 d o,uni3-bi4,-14.725458467941532,-10.590872408983682
l o l1 o1,uni3-bi4,-14.764805502914944,-14.18075724472548
l1 a1 r e,uni3-bi4,-14.715169565473976,-13.428125191429432
b1 a1 r e,uni3-bi4,-14.774129271584508,-12.68521944631655
k o k1 o1,uni3-bi4,-14.742625406761832,-11.879194549622492
p1 e1 m o,uni3-bi4,-14.64904002510157,-11.177842557111047
r1 a1 d e,uni3-bi4,-14.863929517003076,-10.782075724667193
t1 i1 g e,uni3-bi4,-14.606885559511744,-14.202505095875786
x1 a1 t o,uni3-bi4,-14.57686652057394,-13.44875575820518
p e m1 e1,uni3-bi4,-14.544859649319102,-12.685385306536402
g1 i1 d o,uni3-bi4,-14.639259299063037,-11.919544346844846
p1 o1 ɾ a,uni3-bi4,-14.556445046940857,-11.070546748934618
m1 e1 m o,uni3-bi4,-14.5074714949324,-10.851926382606733
ɲ i i1 i1,uni2-bi1,-16.72338857017452,-30.793518086999462
s1 u1 u u,uni2-bi1,-16.740578362717134,-28.95149031792414
u1 i1 r u,uni2-bi1,-16.78192259388863,-26.917737098533586
i1 u1 r u,uni2-bi1,-16.78192259388863,-24.876656424726193
tʃ o i1 u1,uni2-bi1,-16.799788381358567,-22.776675022657223
x1 i1 l u,uni2-bi1,-16.79667322551056,-20.77882539448176
n1 u1 u u,uni2-bi1,-16.67882430104219,-31.22469484733476
t1 o1 u u,uni2-bi1,-16.415587573768796,-28.95495264208957
ɲ i i1 a1,uni2-bi1,-16.466309626809675,-27.039446191915008
u1 o1 g i,uni2-bi1,-16.52453530119095,-24.819207413675077
tʃ e i1 u1,uni2-bi1,-16.611046519211694,-22.817399667794113
u e tʃ1 i1,uni2-bi1,-16.562032022038156,-20.816345670993197
n1 o1 u u,uni2-bi1,-16.11335143361737,-31.448522109820736
l1 i1 u u,uni2-bi1,-16.273752915777088,-28.936079747504543
ɲ o i1 i1,uni2-bi1,-16.197623482940113,-26.95542048368229
u u ɾ1 u1,uni2-bi1,-16.216813556579947,-24.670668429874276
l u u1 o1,uni2-bi1,-16.385737725817883,-22.894880928437026
l1 o1 l u,uni2-bi1,-16.384863217672947,-20.75903703504519
u1 i1 u u,uni2-bi1,-16.27462742392202,-31.542920840008136
d1 e1 u u,uni2-bi1,-16.29267414272432,-29.164646005480726
k1 a1 u u,uni2-bi1,-16.094352053777065,-27.033463860433145
u1 o1 t u,uni2-bi1,-16.04306767900411,-24.912705184165276
f1 a1 i u,uni2-bi1,-16.180842334498653,-22.809787931011755
ɲ e ɾ1 e1,uni2-bi1,-16.12364003493422,-20.731247451529192
n1 e1 u u,uni2-bi1,-15.61387224402808,-31.13685354001609
t1 e1 u u,uni2-bi1,-15.916108384179504,-29.179701264982576
u1 u1 u e,uni2-bi1,-15.703352185514316,-26.87538700400067
i1 i1 f u,uni2-bi1,-15.97552009709299,-24.85004788910921
t1 u1 u i,uni2-bi1,-15.886767813670025,-22.89607054290264
n1 o1 f i,uni2-bi1,-15.957475817761914,-20.745624129651556
u o u1 u1,uni2-bi1,-15.892094047661184,-31.521843265234956
s1 e1 u u,uni2-bi1,-15.675626305703023,-28.98692138276177
u1 u1 u o,uni2-bi1,-15.892094047661187,-27.206939132464573
u1 o1 n u,uni2-bi1,-15.89826691547658,-24.812637917946333
u o d1 u1,uni2-bi1,-15.737568484980429,-22.86834670593961
t1 o1 d u,uni2-bi1,-15.660568305146128,-20.763962246034616
p e ɲ1 i1,uni2-bi3,-16.780472468765435,-16.49055700622652
p a ɲ1 i1,uni2-bi3,-16.77554087768395,-16.19819729220932
g u n1 o1,uni2-bi3,-16.785500467337542,-15.813752752261188
n1 e1 ɲ o,uni2-bi3,-16.774392641543336,-15.555265611959802
s u r1 o1,uni2-bi3,-16.761464466641463,-15.196488728583962
p i f1 o1,uni2-bi3,-16.808052338746137,-14.890359956919111
g i b1 o1,uni2-bi3,-16.582620499156548,-16.431009572960676
d o r1 u1,uni2-bi3,-16.547274661011965,-16.15491616081066
s u f1 o1,uni2-bi3,-16.60885106613309,-15.847219904694692
l1 u1 g o,uni2-bi3,-16.563368573236428,-15.522871303219258
n1 e1 ɲ a,uni2-bi3,-16.58071918831498,-15.212867367655535
b e ɲ1 a1,uni2-bi3,-16.53796348310508,-14.834560160466298
r1 i1 r e,uni2-bi3,-16.383322898957196,-16.50182865920836
x a x1 a1,uni2-bi3,-16.376832828312565,-16.169667204609315
s i tʃ1 o1,uni2-bi3,-16.353176132165437,-15.839480141837884
l u l1 o1,uni2-bi3,-16.38486321767295,-15.478759676207288
x1 e1 r o,uni2-bi3,-16.417424131378713,-15.15695152030908
g u i1 o1,uni2-bi3,-16.381303590217378,-14.861638421603304
p i b1 u1,uni2-bi3,-16.174023922671484,-16.46219605971809
g o x1 a1,uni2-bi3,-16.152626770284375,-16.14731532411747
g1 i1 f e,uni2-bi3,-16.143953717206966,-15.82735115149489
k e ɲ1 a1,uni2-bi3,-16.164514588895877,-15.5420310672469
t1 u1 f e,uni2-bi3,-16.110677875956878,-15.192642218103687
r i g1 a1,uni2-bi3,-16.170259881521876,-14.883531328161316
k1 u1 l i,uni2-bi3,-15.933721538938997,-16.493685888521416
m u m1 i1,uni2-bi3,-15.954956928207348,-16.174106971703313
x1 a1 g e,uni2-bi3,-15.9638849081375,-15.865406977499712
tʃ1 e1 d a,uni2-bi3,-15.97465344381706,-15.516436386840564
p i x1 i1,uni2-bi3,-15.961401356973743,-15.198904623932387
x1 u1 n o,uni2-bi3,-15.926669038908424,-14.863096955284652
f a p1 i1,uni2-bi3,-15.749261728781583,-16.472888250398615
d u m1 i1,uni2-bi3,-15.727988086307963,-16.147834889476563
s u x1 i1,uni2-bi3,-15.762200084360696,-15.857843280773135
g1 o1 p o,uni2-bi3,-15.76440962856834,-15.482010788440505
x e l1 e1,uni2-bi3,-15.72755416533199,-15.203026623502703
p o g1 o1,uni2-bi3,-15.76440962856834,-14.879669072066552
p o b1 a1,uni4-bi4,-14.15365555357506,-14.060800337714776
m1 i1 l a,uni4-bi4,-14.108335017767782,-13.08968192484092
k1 u1 s e,uni4-bi4,-14.184741448407852,-12.120934912279512
m1 a1 b a,uni4-bi4,-14.124846791094209,-11.24519665241646
g1 a1 d e,uni4-bi4,-14.193438493551316,-10.496616139900947
p1 a1 d o,uni4-bi4,-13.992419958354288,-9.228514573661757
