"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɲ i ɲ1 o1","ñiñó","uni1-bi1",-21.24952941,-26.04989147,9,"ɲ_i_ɲ1_o1.mp3","Task",1
"ɲ i r1 u1","ñirú","uni1-bi1",-20.60863713,-30.54680471,9,"ɲ_i_r1_u1.mp3","Task",1
"ɲ o d1 u1","ñodú","uni1-bi1",-18.5181466,-24.33625809,9,"ɲ_o_d1_u1.mp3","Task",1
"t͡ʃ i t͡ʃ1 o1","chichó","uni1-bi2",-20.09380911,-18.87904345,9,"t͡ʃ_i_t͡ʃ1_o1.mp3","Task",1
"b1 i1 t͡ʃ i","bichi","uni1-bi2",-17.38363867,-18.33226189,9,"b1_i1_t͡ʃ_i.mp3","Task",1
"p u t͡ʃ1 u1","puchú","uni1-bi2",-19.30643553,-17.41823047,9,"p_u_t͡ʃ1_u1.mp3","Task",1
"t͡ʃ1 a1 d u","chadu","uni1-bi2",-17.35873339,-18.74992034,9,"t͡ʃ1_a1_d_u.mp3","Task",1
"t͡ʃ1 e1 t͡ʃ o","checho","uni1-bi3",-19.06856484,-15.56270594,9,"t͡ʃ1_e1_t͡ʃ_o.mp3","Task",1
"x u m1 a1","jumá","uni1-bi3",-17.31595696,-15.98320947,9,"x_u_m1_a1.mp3","Task",1
"t͡ʃ1 o1 x o","chojo","uni1-bi3",-18.5128539,-14.76610978,9,"t͡ʃ1_o1_x_o.mp3","Task",1
"f1 u1 t͡ʃ a","fucha","uni1-bi4",-19.10122575,-13.24018804,9,"f1_u1_t͡ʃ_a.mp3","Task",1
"f u d1 o1","fudó","uni1-bi4",-17.73057034,-13.43173155,9,"f_u_d1_o1.mp3","Task",1
"p1 a1 ɲ a","paña","uni1-bi4",-17.33434389,-12.4773866,9,"p1_a1_ɲ_a.mp3","Task",1
"p u t͡ʃ1 o1","puchó","uni1-bi4",-18.74096266,-13.82929235,9,"p_u_t͡ʃ1_o1.mp3","Task",1
"ɲ1 a1 t i","ñati","uni2-bi1",-16.63620967,-21.43950402,9,"ɲ1_a1_t_i.mp3","Task",1
"g a u1 o1","gahuó","uni2-bi1",-15.80509676,-21.46183984,9,"g_a_u1_o1.mp3","Task",1
"ɲ o s1 a1","ñosá","uni2-bi1",-16.40649548,-21.41065482,9,"ɲ_o_s1_a1.mp3","Task",1
"n1 o1 p u","nopu","uni2-bi1",-15.81143102,-22.92209464,9,"n1_o1_p_u.mp3","Task",1
"g1 u1 m i","gumi","uni2-bi2",-16.62951757,-17.90294512,9,"g1_u1_m_i.mp3","Task",1
"p1 a1 f i","pafi","uni2-bi2",-16.21162133,-17.4346252,9,"p1_a1_f_i.mp3","Task",1
"ɲ1 a1 n o","ñano","uni2-bi2",-15.96564382,-17.90274981,9,"ɲ1_a1_n_o.mp3","Task",1
"r u ɾ1 o1","ruró","uni2-bi3",-16.15863586,-14.74423203,9,"r_u_ɾ1_o1.mp3","Task",1
"k u f1 a1","cufá","uni2-bi3",-16.61433562,-15.62184796,9,"k_u_f1_a1.mp3","Task",1
"x1 e1 g e","gegue","uni2-bi3",-16.39353613,-15.34247188,9,"x1_e1_g_e.mp3","Task",1
"b a p1 u1","bapú","uni2-bi3",-15.7610186,-16.27266128,9,"b_a_p1_u1.mp3","Task",1
"f i k1 o1","ficó","uni2-bi4",-16.86760685,-12.96895735,9,"f_i_k1_o1.mp3","Task",1
"f1 u1 ɾ o","furo","uni2-bi4",-16.22322939,-12.31533596,9,"f1_u1_ɾ_o.mp3","Task",1
"b1 e1 x e","bege","uni2-bi4",-15.78651387,-12.32152271,9,"b1_e1_x_e.mp3","Task",1
"u1 a1 n u","guanu","uni3-bi1",-14.9691365,-22.53622931,9,"u1_a1_n_u.mp3","Task",1
"n1 o1 s u","nosu","uni3-bi1",-14.51793712,-21.30120896,9,"n1_o1_s_u.mp3","Task",1
"u1 a1 u i","guahui","uni3-bi1",-14.92325585,-24.49514478,9,"u1_a1_u_i.mp3","Task",1
"u o u1 o1","huohuó","uni3-bi1",-15.32662118,-27.44042866,9,"u_o_u1_o1.mp3","Task",1
"n u m1 a1","numá","uni3-bi2",-15.17751643,-17.90535497,9,"n_u_m1_a1.mp3","Task",1
"r1 i1 s i","risi","uni3-bi2",-14.99512037,-16.71015477,9,"r1_i1_s_i.mp3","Task",1
"l1 i1 r a","lirra","uni3-bi2",-14.96731692,-18.34264218,9,"l1_i1_r_a.mp3","Task",1
"t͡ʃ a n1 a1","chaná","uni3-bi2",-15.51570852,-17.07943122,9,"t͡ʃ_a_n1_a1.mp3","Task",1
"d e m1 u1","demú","uni3-bi3",-15.15671285,-16.26704308,9,"d_e_m1_u1.mp3","Task",1
"t u l1 e1","tulé","uni3-bi3",-15.54271398,-15.03585922,9,"t_u_l1_e1.mp3","Task",1
"s e t͡ʃ1 e1","seché","uni3-bi3",-15.13918999,-15.36442809,9,"s_e_t͡ʃ1_e1.mp3","Task",1
"l1 o1 l e","lole","uni3-bi4",-14.57606364,-14.10324983,9,"l1_o1_l_e.mp3","Task",1
"r1 i1 d e","ride","uni3-bi4",-15.12100846,-11.83639537,9,"r1_i1_d_e.mp3","Task",1
"g1 a1 b e","gabe","uni3-bi4",-14.66110731,-11.87754536,9,"g1_a1_b_e.mp3","Task",1
"m1 e1 g e","megue","uni3-bi4",-15.51892909,-14.08172961,9,"m1_e1_g_e.mp3","Task",1
"n o u1 i1","nohuí","uni4-bi1",-13.60615773,-23.50675547,9,"n_o_u1_i1.mp3","Task",1
"n1 e1 u e","nehue","uni4-bi1",-13.80507267,-22.87336907,9,"n1_e1_u_e.mp3","Task",1
"i1 a1 u e","yahue","uni4-bi1",-12.97122457,-21.69189571,9,"i1_a1_u_e.mp3","Task",1
"i o k1 i1","yoquí","uni4-bi2",-13.63708065,-16.72065781,9,"i_o_k1_i1.mp3","Task",1
"s a i1 a1","sayá","uni4-bi2",-11.37087866,-16.59033043,9,"s_a_i1_a1.mp3","Task",1
"i1 a1 i e","llaye","uni4-bi2",-11.87693194,-17.47421679,9,"i1_a1_i_e.mp3","Task",1
"i e i1 a1","yeyá","uni4-bi2",-11.87693194,-18.00828521,9,"i_e_i1_a1.mp3","Task",1
"f e ɾ1 i1","ferí","uni4-bi3",-14.10890665,-15.340945,9,"f_e_ɾ1_i1.mp3","Task",1
"s o ɾ1 a1","sorá","uni4-bi3",-11.50673825,-15.27986793,9,"s_o_ɾ1_a1.mp3","Task",1
"l o d1 a1","lodá","uni4-bi3",-13.68202403,-15.34385141,9,"l_o_d1_a1.mp3","Task",1
"i e d1 i1","lledí","uni4-bi3",-13.21700966,-16.19595491,9,"i_e_d1_i1.mp3","Task",1
"m1 a1 d o","mado","uni4-bi4",-13.85085143,-9.330889084,9,"m1_a1_d_o.mp3","Task",1
"s1 a1 d a","sada","uni4-bi4",-12.67722464,-10.67609528,9,"s1_a1_d_a.mp3","Task",1
"p1 a1 d o","pado","uni4-bi4",-13.99241996,-9.228514574,9,"p1_a1_d_o.mp3","Task",1
