word,bucket_q,uni_prob,bi_prob_smoothed
g u i1 u1,uni1-bi1,-16.946776457642194,-20.94209010767677
u1 i1 g u,uni1-bi1,-16.946776457642194,-21.239761618801985
i1 u1 g u,uni1-bi1,-16.946776457642194,-23.378183315557003
t͡ʃ1 e1 s u,uni1-bi1,-16.947989570099736,-20.99479516290276
ɲ1 e1 p a,uni1-bi1,-16.94811315916701,-21.525075687107815
f1 e1 d u,uni1-bi1,-16.949766918247484,-21.157351792209734
l1 u1 l u,uni1-bi1,-16.950336085097767,-21.824890996241596
ɲ1 e1 p e,uni1-bi1,-16.953044750248495,-21.582291643628977
l1 e1 r u,uni1-bi1,-16.953620367226755,-21.46423699636881
r1 e1 t u,uni1-bi1,-16.95378837138826,-19.244878909318363
u1 e1 r u,uni1-bi1,-16.954494875371687,-21.5607850576339
l1 a1 f u,uni1-bi1,-16.95509098408038,-20.768777216110017
u1 a1 f u,uni1-bi1,-16.95596549222531,-22.860191184568187
u a f1 u1,uni1-bi1,-16.956007075897904,-20.86803347515147
p1 u1 t u,uni1-bi1,-16.95848900760671,-19.284024405986496
u e f1 u1,uni1-bi1,-16.960938666979388,-22.065865897442997
ɲ1 e1 b a,uni1-bi1,-16.962683116871503,-19.071357904833143
m1 u1 d u,uni1-bi1,-16.96551242480513,-20.004920811485125
ɲ1 e1 b e,uni1-bi1,-16.967614707952983,-19.43156134783365
ɲ1 i1 p o,uni1-bi1,-16.96921433091231,-21.52184430908522
x1 e1 l u,uni1-bi1,-16.969245506993616,-20.245783152820728
f1 i1 l u,uni1-bi1,-16.9712727362106,-19.87702509886094
t͡ʃ o u1 e1,uni1-bi1,-16.972360662841623,-20.269756579358397
f1 a1 p u,uni1-bi1,-16.973214551832537,-21.315127823598498
t͡ʃ1 i1 p i,uni1-bi1,-16.97461856122973,-20.681394440025304
u o x1 u1,uni1-bi1,-16.975081018426216,-22.328158580185217
ɲ1 a1 l i,uni1-bi1,-16.97887971579509,-21.31824723067463
x1 o1 n u,uni1-bi1,-16.981253886241607,-21.137332484221425
l1 u1 m u,uni1-bi1,-16.983226827550972,-21.451711773070535
b1 u1 r i,uni1-bi1,-16.983239502827804,-19.249523332450124
ɲ a l1 a1,uni1-bi1,-16.983520916699145,-20.012420779199633
ɲ1 i1 b o,uni1-bi1,-16.9837842886168,-19.0211747962839
ɲ a u1 a1,uni1-bi1,-16.984395424844077,-24.84775557502801
f1 a1 b u,uni1-bi1,-16.98778450953703,-19.22793414881017
ɲ e l1 a1,uni1-bi1,-16.98845250778063,-22.073062000535096
ɲ e u1 a1,uni1-bi1,-16.98932701592556,-26.293328600041
m1 i1 r u,uni1-bi1,-16.990302524897242,-23.54537040620288
ɲ1 o1 d a,uni1-bi1,-16.994493490323347,-19.5335285501304
p1 o1 p u,uni1-bi1,-16.994706945982443,-19.766159187733216
ɲ1 o1 d e,uni1-bi1,-16.99942508140483,-19.34027070995121
x1 u1 s u,uni1-bi1,-16.999724422857867,-20.77469556609813
x1 e1 m u,uni1-bi1,-17.002136249446824,-19.362051941129604
f1 i1 m u,uni1-bi1,-17.00416347866381,-19.376453237763684
g i r1 a1,uni1-bi1,-17.0056047687272,-20.619491271625
p1 o1 b u,uni1-bi1,-17.009276903686935,-19.178604919423805
b1 u1 l u,uni1-bi1,-17.0092957912083,-20.588968642972524
t͡ʃ a n1 u1,uni1-bi1,-17.01031180525038,-20.005776155271107
ɲ1 a1 m i,uni1-bi1,-17.0117704582483,-21.076074188394692
b1 e1 r u,uni1-bi1,-17.012580073337286,-20.41978921866488
b1 a1 f u,uni1-bi1,-17.01405069019091,-20.02587147099714
u o ɲ1 a1,uni1-bi1,-17.014055797737175,-21.52926739083395
ɲ1 a1 u o,uni1-bi1,-17.014055797737175,-25.201111038844157
f1 u1 k i,uni1-bi1,-17.014646269666244,-19.717221675109673
t͡ʃ e n1 u1,uni1-bi1,-17.015243396331865,-20.136364937833797
u i t͡ʃ1 a1,uni1-bi1,-17.019460028054592,-19.63298428380535
t͡ʃ1 a1 i u,uni1-bi1,-17.019460028054592,-22.80577297318179
t͡ʃ1 a1 u i,uni1-bi1,-17.019460028054592,-23.17119703175277
ɲ o d1 a1,uni1-bi1,-17.023543315391677,-21.491561364899297
g1 o1 k u,uni1-bi1,-17.02558840682163,-19.91575739941672
k1 u1 l u,uni1-bi1,-17.02801416646259,-19.495683964128
g1 e1 f i,uni1-bi1,-17.031032948071307,-20.681690205287417
k1 e1 r u,uni1-bi1,-17.031298448591578,-21.389468565051864
k1 a1 f u,uni1-bi1,-17.0327690654452,-19.442121260154984
ɲ1 a1 s u,uni1-bi1,-17.038699202168825,-24.44784342547422
ɲ1 i1 d i,uni1-bi1,-17.04188055971376,-22.082152579852607
b1 u1 m u,uni1-bi1,-17.042186533661503,-20.21578941980146
ɲ a b1 a1,uni1-bi1,-17.042480622809677,-19.930262972164268
ɲ1 e1 ɾ i,uni1-bi1,-17.043020968574545,-21.61118418078064
f1 e1 k u,uni1-bi1,-17.043986840175727,-20.10936870835749
ɲ e b1 a1,uni1-bi1,-17.04741221389116,-21.83230041172436
n1 o1 f u,uni1-bi1,-17.051768445285507,-23.364703024444783
x1 i1 p u,uni1-bi1,-17.05569398449734,-21.543231796190703
d1 u1 p u,uni1-bi1,-17.05570578954872,-20.796568633882863
d1 i1 f u,uni1-bi1,-17.0585188729094,-19.74663312010568
m1 u1 k u,uni1-bi1,-17.059732346733373,-20.261850766235774
k1 u1 m u,uni1-bi1,-17.060904908915795,-19.122504740956938
ɲ a k1 a1,uni1-bi1,-17.06119899806397,-20.28675296226604
t͡ʃ1 i1 r a,uni1-bi1,-17.064395600923284,-19.630361794925697
t͡ʃ1 a1 n u,uni1-bi1,-17.065340676060394,-21.212281567538326
ɲ1 e1 t i,uni1-bi1,-17.065860893829225,-22.54672017745504
ɲ e k1 a1,uni1-bi1,-17.066130589145452,-21.97369826061971
l1 a1 t͡ʃ i,uni1-bi1,-17.0676000170832,-19.004756011682307
u1 a1 t͡ʃ i,uni1-bi1,-17.068474525228133,-21.096169980140473
t͡ʃ i u1 a1,uni1-bi1,-17.068474525228133,-22.309264307143607
x1 i1 b u,uni1-bi1,-17.07026394220183,-19.239659268671826
d1 u1 b u,uni1-bi1,-17.070275747253213,-20.222024602309467
d i r1 u1,uni1-bi1,-17.073039748246373,-19.756452112784064
ɲ o t1 e1,uni1-bi1,-17.076628781694765,-20.983657352348228
u a ɲ1 i1,uni1-bi1,-17.077461287873664,-20.069362403037932
ɲ1 i1 u a,uni1-bi1,-17.077461287873664,-25.430024447198974
ɲ a n1 o1,uni1-bi1,-17.080198377904274,-21.27083690266769
u e ɲ1 i1,uni1-bi1,-17.082392878955147,-21.784508233574194
