word,bucket_r,uni_prob,bi_prob_smoothed
ɲ u u u,uni1-bi1,-17.40782783570371,-34.99823749200534
ɲ u u u,uni1-bi1,-17.40782783570371,-34.99823749200534
ɲ o ɲ u,uni1-bi1,-18.824164439207618,-28.356938189944504
ɲ o ɲ u,uni1-bi1,-18.824164439207618,-28.356938189944504
ɲ i ɲ u,uni1-bi1,-18.955791894849956,-29.596017198036144
ɲ i ɲ u,uni1-bi1,-18.955791894849956,-29.596017198036144
ɲ u ɲ u,uni1-bi1,-20.114370309418906,-29.79148084211008
ɲ u ɲ u,uni1-bi1,-20.114370309418906,-29.79148084211008
ɲ a ɲ i,uni1-bi2,-17.26739708585401,-23.357260412418153
ɲ a ɲ i,uni1-bi2,-17.26739708585401,-23.357260412418153
ɲ i ɲ a,uni1-bi2,-17.267397085854014,-22.040010164106228
ɲ i ɲ a,uni1-bi2,-17.267397085854014,-22.040010164106228
ɲ o ɲ e,uni1-bi2,-17.27185387623698,-22.46360200772595
ɲ o ɲ e,uni1-bi2,-17.27185387623698,-22.46360200772595
ɲ u f i,uni1-bi2,-17.313017562148264,-24.999565009183897
ɲ u f i,uni1-bi2,-17.313017562148264,-24.999565009183897
ɲ i f u,uni1-bi2,-17.313017562148264,-25.495815861593513
ɲ i f u,uni1-bi2,-17.313017562148264,-25.495815861593513
x i ɲ u,uni1-bi2,-17.33623585225027,-22.123017801031004
x i ɲ u,uni1-bi2,-17.33623585225027,-22.123017801031004
ɲ u x i,uni1-bi2,-17.33623585225027,-24.35634738300934
ɲ u x i,uni1-bi2,-17.33623585225027,-24.35634738300934
ɲ i x u,uni1-bi2,-17.33623585225027,-25.469248870256045
ɲ i x u,uni1-bi2,-17.33623585225027,-25.469248870256045
ɲ u p u,uni1-bi2,-17.337201695432302,-25.971634131888663
ɲ u p u,uni1-bi2,-17.337201695432302,-25.971634131888663
ɲ e ɲ i,uni1-bi2,-17.403481331879316,-25.211384309097088
ɲ e ɲ i,uni1-bi2,-17.403481331879316,-25.211384309097088
ɲ i ɲ e,uni1-bi2,-17.40348133187932,-23.702681015817586
ɲ i ɲ e,uni1-bi2,-17.40348133187932,-23.702681015817586
u u ɲ u,uni1-bi2,-17.40782783570371,-27.049381341669903
u u ɲ u,uni1-bi2,-17.40782783570371,-27.049381341669903
tʃ o tʃ u,uni1-bi2,-17.658660356600716,-21.7148038770817
tʃ o tʃ u,uni1-bi2,-17.658660356600716,-21.7148038770817
ɲ o ɲ i,uni1-bi2,-17.665586024638667,-25.94994941839215
ɲ o ɲ i,uni1-bi2,-17.665586024638667,-25.94994941839215
ɲ i ɲ o,uni1-bi2,-17.66558602463867,-22.442887446458457
ɲ i ɲ o,uni1-bi2,-17.66558602463867,-22.442887446458457
tʃ i tʃ u,uni1-bi2,-17.79028781224305,-21.946648934972853
tʃ i tʃ u,uni1-bi2,-17.79028781224305,-21.946648934972853
ɲ i ɲ i,uni1-bi2,-17.797213480281005,-27.18902842648379
ɲ i ɲ i,uni1-bi2,-17.797213480281005,-27.18902842648379
ɲ a tʃ u,uni1-bi2,-17.84322345911951,-25.33164238190205
ɲ a tʃ u,uni1-bi2,-17.84322345911951,-25.33164238190205
ɲ u tʃ e,uni1-bi2,-17.979307705144816,-22.134623470551663
