,Unnamed: 0,word,cnt,frq,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_NP,sa_avg_frq_Np,X,stressed_ipa,unsyllabified_ipa,syllabified_ipa,no_spaces_ipa
0,1,a,10445760,22579.974,a,V,1,59,1049.399673,,a1,a,a,a
1,2,aarón,632,1.366157,aaron,VVCVC,3,18,2.577756,,a a ɾ1 o1 n1,a a ɾ o n,a.a.ɾon,aaɾon
2,3,ábaco,149,0.322084,aBako,VCVCV,1,26,10.128448,,a1 b a k o,a b a k o,a.ba.ko,abako
3,4,abad,973,2.103276,aBaD,VCVC,2,36,0.571273,,a b1 a1 d1,a b a d,a.bad,abad
4,5,abadesa,97,0.209679,aBaDesa,VCVCVCV,3,2,0.021617,,a b a d1 e1 s a,a b a d e s a,a.ba.de.sa,abadesa
5,6,abadía,1149,2.483725,aBaDia,VCVCVV,3,6,0.126816,,a b a d1 i1 a,a b a d i a,a.ba.di.a,abadia
6,7,abajo,105998,229.12953,aBaxo,VCVCV,2,16,0.687942,,a b1 a1 x o,a b a x o,a.ba.xo,abaxo
7,8,abalancé,45,0.097274,aBalanse,VCVCVCCV,4,6,0.223369,,a b a l a n s1 e1,a b a l a n s e,a.ba.lan.se,abalanse
8,9,abalances,6,0.01297,aBalanses,VCVCVCCVC,3,4,0.051339,,a b a l1 a1 n1 s e s,a b a l a n s e s,a.ba.lan.ses,abalanses
9,10,abalanza,144,0.311276,aBalansa,VCVCVCCV,3,8,0.362615,,a b a l1 a1 n1 s a,a b a l a n s a,a.ba.lan.sa,abalansa
10,11,abalanzaba,23,0.049718,aBalansaBa,VCVCVCCVCV,4,5,0.013402,,a b a l a n s1 a1 b a,a b a l a n s a b a,a.ba.lan.sa.ba,abalansaba
11,12,abalanzamos,24,0.051879,aBalansamos,VCVCVCCVCVC,4,3,0.006485,,a b a l a n s1 a1 m o s,a b a l a n s a m o s,a.ba.lan.sa.mos,abalansamos
12,13,abalanzan,56,0.121052,aBalansan,VCVCVCCVC,3,4,0.103218,,a b a l1 a1 n1 s a n,a b a l a n s a n,a.ba.lan.san,abalansan
13,14,abalanzándose,72,0.155638,aBalansandose,VCVCVCCVCCVCV,4,1,0.004323,,a b a l a n s1 a1 n1 d o s e,a b a l a n s a n d o s e,a.ba.lan.san.do.se,abalansandose
14,15,abalanzarán,13,0.028101,aBalansaran,VCVCVCCVCVC,5,6,0.024859,,a b a l a n s a ɾ1 a1 n1,a b a l a n s a ɾ a n,a.ba.lan.sa.ɾan,abalansaɾan
15,16,abalanzarnos,18,0.03891,aBalansarnos,VCVCVCCVCCVC,4,1,0.01297,,a b a l a n s1 a1 ɾ1 n o s,a b a l a n s a ɾ n o s,a.ba.lan.saɾ.nos,abalansaɾnos
16,17,abalanzaron,43,0.092951,aBalansaron,VCVCVCCVCVC,4,3,0.015131,,a b a l a n s1 a1 ɾ o n,a b a l a n s a ɾ o n,a.ba.lan.sa.ɾon,abalansaɾon
17,18,abalanzarse,146,0.315599,aBalansarse,VCVCVCCVCCV,4,4,0.044854,,a b a l a n s1 a1 ɾ1 s e,a b a l a n s a ɾ s e,a.ba.lan.saɾ.se,abalansaɾse
18,19,abalanzarte,28,0.060526,aBalansarte,VCVCVCCVCCV,4,5,0.095544,,a b a l a n s1 a1 ɾ1 t e,a b a l a n s a ɾ t e,a.ba.lan.saɾ.te,abalansaɾte
19,20,abalanzas,33,0.071334,aBalansas,VCVCVCCVC,3,5,0.140507,,a b a l1 a1 n1 s a s,a b a l a n s a s,a.ba.lan.sas,abalansas
20,21,abalanzaste,20,0.043233,aBalansaste,VCVCVCCVCCV,4,1,0.060526,,a b a l a n s1 a1 s1 t e,a b a l a n s a s t e,a.ba.lan.sas.te,abalansaste
21,22,abalanzo,16,0.034586,aBalanso,VCVCVCCV,3,5,0.090357,,a b a l1 a1 n1 s o,a b a l a n s o,a.ba.lan.so,abalanso
22,23,abalanzó,203,0.438813,aBalanso,VCVCVCCV,4,5,0.090357,,a b a l a n s1 o1,a b a l a n s o,a.ba.lan.so,abalanso
23,24,abanderada,14,0.030263,aBanderaDa,VCVCCVCVCV,4,2,0.105921,,a b a n d e ɾ1 a1 d a,a b a n d e ɾ a d a,a.ban.de.ɾa.da,abandeɾada
24,25,abandona,3523,7.615458,aBandona,VCVCCVCV,3,8,7.479275,,a b a n d1 o1 n a,a b a n d o n a,a.ban.do.na,abandona
25,26,abandonaba,220,0.475561,aBandonaBa,VCVCCVCVCV,4,6,1.635281,,a b a n d o n1 a1 b a,a b a n d o n a b a,a.ban.do.na.ba,abandonaba
26,27,abandonaban,85,0.183739,aBandonaBan,VCVCCVCVCVC,4,4,0.370722,,a b a n d o n1 a1 b a n,a b a n d o n a b a n,a.ban.do.na.ban,abandonaban
27,28,abandonabas,20,0.043233,aBandonaBas,VCVCCVCVCVC,4,5,0.56462,,a b a n d o n1 a1 b a s,a b a n d o n a b a s,a.ban.do.na.bas,abandonabas
28,29,abandonad,171,0.36964,aBandonaD,VCVCCVCVC,4,6,10.929253,,a b a n d o n1 a1 d1,a b a n d o n a d,a.ban.do.nad,abandonad
29,30,abandonada,2958,6.394132,aBandonaDa,VCVCCVCVCV,4,8,3.203821,,a b a n d o n1 a1 d a,a b a n d o n a d a,a.ban.do.na.da,abandonada
30,31,abandonadas,504,1.089467,aBandonaDas,VCVCCVCVCVC,4,5,2.110193,,a b a n d o n1 a1 d a s,a b a n d o n a d a s,a.ban.do.na.das,abandonadas
31,32,abandonado,9484,20.500995,aBandonaDo,VCVCCVCVCV,4,5,1.99995,,a b a n d o n1 a1 d o,a b a n d o n a d o,a.ban.do.na.do,abandonado
32,33,abandonados,1406,3.039266,aBandonaDos,VCVCCVCVCVC,4,8,3.001167,,a b a n d o n1 a1 d o s,a b a n d o n a d o s,a.ban.do.na.dos,abandonados
33,34,abandónalo,87,0.188063,aBandonalo,VCVCCVCVCV,3,7,3.511121,,a b a n d1 o1 n a l o,a b a n d o n a l o,a.ban.do.na.lo,abandonalo
34,35,abandóname,87,0.188063,aBandoname,VCVCCVCVCV,3,8,0.867088,,a b a n d1 o1 n a m e,a b a n d o n a m e,a.ban.do.na.me,abandoname
35,36,abandonamos,981,2.120569,aBandonamos,VCVCCVCVCVC,4,6,0.676593,,a b a n d o n1 a1 m o s,a b a n d o n a m o s,a.ban.do.na.mos,abandonamos
36,37,abandonan,1240,2.680434,aBandonan,VCVCCVCVC,3,5,8.046922,,a b a n d1 o1 n a n,a b a n d o n a n,a.ban.do.nan,abandonan
37,38,abandonando,1242,2.684757,aBandonando,VCVCCVCVCCV,4,0,0.0,,a b a n d o n1 a1 n1 d o,a b a n d o n a n d o,a.ban.do.nan.do,abandonando
38,39,abandonándolo,32,0.069172,aBandonandolo,VCVCCVCVCCVCV,4,3,0.031704,,a b a n d o n1 a1 n1 d o l o,a b a n d o n a n d o l o,a.ban.do.nan.do.lo,abandonandolo
39,40,abandonándonos,23,0.049718,aBandonandonos,VCVCCVCVCCVCVC,4,1,0.03891,,a b a n d o n1 a1 n1 d o n o s,a b a n d o n a n d o n o s,a.ban.do.nan.do.nos,abandonandonos
40,41,abandonándote,22,0.047556,aBandonandote,VCVCCVCVCCVCV,4,3,0.064849,,a b a n d o n1 a1 n1 d o t e,a b a n d o n a n d o t e,a.ban.do.nan.do.te,abandonandote
41,42,abandonar,12030,26.004531,aBandonar,VCVCCVCVC,4,8,2.362402,,a b a n d o n1 a1 ɾ1,a b a n d o n a ɾ,a.ban.do.naɾ,abandonaɾ
42,43,abandonara,522,1.128376,aBandonara,VCVCCVCVCV,4,12,3.483123,,a b a n d o n1 a1 ɾ a,a b a n d o n a ɾ a,a.ban.do.na.ɾa,abandonaɾa
43,44,abandonará,922,1.993032,aBandonara,VCVCCVCVCV,5,12,3.483123,,a b a n d o n a ɾ1 a1,a b a n d o n a ɾ a,a.ban.do.na.ɾa,abandonaɾa
44,45,abandonáramos,45,0.097274,aBandonaramos,VCVCCVCVCVCVC,4,3,0.357391,,a b a n d o n1 a1 ɾ a m o s,a b a n d o n a ɾ a m o s,a.ban.do.na.ɾa.mos,abandonaɾamos
45,46,abandonaran,131,0.283175,aBandonaran,VCVCCVCVCVC,4,7,1.167903,,a b a n d o n1 a1 ɾ a n,a b a n d o n a ɾ a n,a.ban.do.na.ɾan,abandonaɾan
46,47,abandonarán,315,0.680917,aBandonaran,VCVCCVCVCVC,5,7,1.167903,,a b a n d o n a ɾ1 a1 n1,a b a n d o n a ɾ a n,a.ban.do.na.ɾan,abandonaɾan
47,48,abandonaras,151,0.326408,aBandonaras,VCVCCVCVCVC,4,11,0.575389,,a b a n d o n1 a1 ɾ a s,a b a n d o n a ɾ a s,a.ban.do.na.ɾas,abandonaɾas
48,49,abandonarás,346,0.747927,aBandonaras,VCVCCVCVCVC,5,11,0.575389,,a b a n d o n a ɾ1 a1 s1,a b a n d o n a ɾ a s,a.ban.do.na.ɾas,abandonaɾas
49,50,abandonaré,1218,2.632878,aBandonare,VCVCCVCVCV,5,12,3.09709,,a b a n d o n a ɾ1 e1,a b a n d o n a ɾ e,a.ban.do.na.ɾe,abandonaɾe
50,51,abandonaremos,447,0.966253,aBandonaremos,VCVCCVCVCVCVC,5,2,0.068092,,a b a n d o n a ɾ1 e1 m o s,a b a n d o n a ɾ e m o s,a.ban.do.na.ɾe.mos,abandonaɾemos
51,52,abandonaría,695,1.50234,aBandonaria,VCVCCVCVCVV,5,5,1.296552,,a b a n d o n a ɾ1 i1 a,a b a n d o n a ɾ i a,a.ban.do.na.ɾi.a,abandonaɾia
52,53,abandonaríamos,21,0.045394,aBandonariamos,VCVCCVCVCVVCVC,5,1,0.097274,,a b a n d o n a ɾ1 i1 a m o s,a b a n d o n a ɾ i a m o s,a.ban.do.na.ɾi.a.mos,abandonaɾiamos
53,54,abandonarían,88,0.190224,aBandonarian,VCVCCVCVCVVC,5,4,0.76414,,a b a n d o n a ɾ1 i1 a n,a b a n d o n a ɾ i a n,a.ban.do.na.ɾi.an,abandonaɾian
54,55,abandonarías,273,0.590128,aBandonarias,VCVCCVCVCVVC,5,6,0.517713,,a b a n d o n a ɾ1 i1 a s,a b a n d o n a ɾ i a s,a.ban.do.na.ɾi.as,abandonaɾias
55,56,abandonarla,1194,2.580998,aBandonarla,VCVCCVCVCCV,4,8,1.222137,,a b a n d o n1 a1 ɾ1 l a,a b a n d o n a ɾ l a,a.ban.do.naɾ.la,abandonaɾla
56,57,abandonarlas,146,0.315599,aBandonarlas,VCVCCVCVCCVC,4,6,1.008045,,a b a n d o n1 a1 ɾ1 l a s,a b a n d o n a ɾ l a s,a.ban.do.naɾ.las,abandonaɾlas
57,58,abandonarle,420,0.907889,aBandonarle,VCVCCVCVCCV,4,9,1.769663,,a b a n d o n1 a1 ɾ1 l e,a b a n d o n a ɾ l e,a.ban.do.naɾ.le,abandonaɾle
58,59,abandonarlo,1784,3.856366,aBandonarlo,VCVCCVCVCCV,4,5,1.052719,,a b a n d o n1 a1 ɾ1 l o,a b a n d o n a ɾ l o,a.ban.do.naɾ.lo,abandonaɾlo
59,60,abandonarlos,730,1.577997,aBandonarlos,VCVCCVCVCCVC,4,7,0.846436,,a b a n d o n1 a1 ɾ1 l o s,a b a n d o n a ɾ l o s,a.ban.do.naɾ.los,abandonaɾlos
60,61,abandonarme,1718,3.713698,aBandonarme,VCVCCVCVCCV,4,7,0.947725,,a b a n d o n1 a1 ɾ1 m e,a b a n d o n a ɾ m e,a.ban.do.naɾ.me,abandonaɾme
