segment,probability
a1,-3.02202951048413
a,-2.4258178117614344
r,-2.4343954973617907
o1,-3.9510095774601597
n,-2.7140946878103875
b,-3.5225398938342964
d,-3.1367997209934746
j,-3.5677350386813607
x,-4.761877683804104
o,-2.619479713086761
s,-2.357044796143628
m,-3.4017758018264246
e1,-3.4516280704976925
l,-3.3188131588510834
e,-2.4307491355976216
t,-2.915727430583259
i1,-3.9933855738471493
k,-3.2693567763259495
i,-3.4311811228042157
u1,-5.134895623219358
g,-4.375790474867616
tʃ,-5.797664768420132
u,-4.463907740828122
w,-4.638952930145078
p,-3.6046485087096993
ɲ,-6.379171977837408
f,-4.7386722226383124
