word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
p a p i,4,-11.713059857880808,-11.687380911237707,-14.407744894980329,-14.026866121435145,-14.409348102765774,-14.028804332059988,1.389718959863495,1.394531440494507,1.3895638818066967,1.3944259102184193,1.028241853079454,1.029626441015308,1.0278978372184406,1.0293826209297539
p a p u,4,-12.871638272449758,-12.800365901119228,-15.944876022893993,-15.4207472162412,-15.914600210143618,-15.410004919417133,1.3071875986951744,1.3108331176014523,1.3070973697959205,1.3107719596404492,1.026257206009617,1.0270609677555085,1.0259454317074996,1.0268454095840693
p a p u,4,-12.871638272449758,-12.800365901119228,-15.944876022893993,-15.4207472162412,-15.914600210143618,-15.410004919417133,1.3071875986951744,1.3108331176014523,1.3070973697959205,1.3107719596404492,1.026257206009617,1.0270609677555085,1.0259454317074996,1.0268454095840693
p a p e,4,-11.319327709479122,-11.258313804289433,-11.009072391495963,-10.973707016452577,-11.01532913973577,-10.977935249935353,1.410351800155575,1.4195481211530838,1.4101805098093907,1.4194293283885953,1.033297086181869,1.034590391558051,1.0328709455953653,1.0342918873149547
p a p e,4,-11.319327709479122,-11.258313804289433,-11.009072391495963,-10.973707016452577,-11.01532913973577,-10.977935249935353,1.410351800155575,1.4195481211530838,1.4101805098093907,1.4194293283885953,1.033297086181869,1.034590391558051,1.0328709455953653,1.0342918873149547
p a p o,4,-11.581432402238471,-11.54528096133042,-11.02256982167845,-10.85667570476948,-11.028538609269411,-10.860784752847596,1.3480788175680445,1.3614043774487075,1.3479564583239456,1.361316409346251,1.0291031150154208,1.0304018494338423,1.0287451075345093,1.030149487249459
p a p o,4,-11.581432402238471,-11.54528096133042,-11.02256982167845,-10.85667570476948,-11.028538609269411,-10.860784752847596,1.3480788175680445,1.3614043774487075,1.3479564583239456,1.361316409346251,1.0291031150154208,1.0304018494338423,1.0287451075345093,1.030149487249459
p a t a,4,-10.494234887841243,-10.50750918367195,-10.22458646521922,-10.100632460324995,-10.230064081224883,-10.104494907154965,1.4590254376581049,1.474567327111815,1.45881619752747,1.4744198450457513,1.043679243328768,1.0476389802561021,1.0430854718169758,1.0471983655885733
p a t i,4,-11.024051282268235,-11.0172482465372,-13.429896999889051,-13.085693342875592,-13.431584140243709,-13.087801113850333,1.4227400978341018,1.4306940947362579,1.4225593689710083,1.430569871880456,1.0396350568468358,1.0398418101146318,1.0391069851154358,1.039487091081382
p a t i,4,-11.024051282268235,-11.0172482465372,-13.429896999889051,-13.085693342875592,-13.431584140243709,-13.087801113850333,1.4227400978341018,1.4306940947362579,1.4225593689710083,1.430569871880456,1.0396350568468358,1.0398418101146318,1.0391069851154358,1.039487091081382
p a t u,4,-12.182629696837186,-12.130233236418722,-15.699132058469239,-15.135013619946887,-15.668593181032495,-15.124141175228443,1.3402087366657813,1.346995771843203,1.3400928569602322,1.346915921302486,1.0346547160866784,1.0371114625831217,1.0342075524181693,1.036786821761424
p a t u,4,-12.182629696837186,-12.130233236418722,-15.699132058469239,-15.135013619946887,-15.668593181032495,-15.124141175228443,1.3402087366657813,1.346995771843203,1.3400928569602322,1.346915921302486,1.0346547160866784,1.0371114625831217,1.0342075524181693,1.036786821761424
p a t e,4,-10.63031913386655,-10.588181139588926,-10.108673308932511,-10.002166845566858,-10.114272452856925,-10.006093904936016,1.443372938126182,1.4557107753948346,1.4431759969737024,1.455573290050632,1.0510561390411814,1.0518194273721662,1.0503425262633028,1.0513327598226183
p a t e,4,-10.63031913386655,-10.588181139588926,-10.108673308932511,-10.002166845566858,-10.114272452856925,-10.006093904936016,1.443372938126182,1.4557107753948346,1.4431759969737024,1.455573290050632,1.0510561390411814,1.0518194273721662,1.0503425262633028,1.0513327598226183
p a t o,4,-10.8924238266259,-10.875148296629913,-10.368268241979186,-10.07959227787894,-10.373817687485799,-10.083552699540387,1.3810999555386514,1.3975670316904583,1.3809519454882573,1.3974603710082878,1.0363023476163546,1.038999140823231,1.0358284173706485,1.0386537048519078
p a k a,4,-10.847901667196657,-10.883312621022993,-10.585111226713188,-10.48448140103945,-10.590800006530388,-10.48848933720252,1.4419225612652569,1.4556468654299355,1.4417266066419185,1.4555091634047903,1.039347995411099,1.0394942323553593,1.038823797743981,1.0391421100492848
p a k a,4,-10.847901667196657,-10.883312621022993,-10.585111226713188,-10.48448140103945,-10.590800006530388,-10.48848933720252,1.4419225612652569,1.4556468654299355,1.4417266066419185,1.4555091634047903,1.039347995411099,1.0394942323553593,1.038823797743981,1.0391421100492848
p a k i,4,-11.37771806162365,-11.393051683888244,-15.05943231112571,-14.500913146192087,-15.059026918497212,-14.501776809969904,1.4056372214412538,1.4117736330543784,1.4054697780854568,1.4116591902394953,1.0283013749280432,1.0291982309435517,1.0279566349944045,1.0289595320405531
p a k i,4,-11.37771806162365,-11.393051683888244,-15.05943231112571,-14.500913146192087,-15.059026918497212,-14.501776809969904,1.4056372214412538,1.4117736330543784,1.4054697780854568,1.4116591902394953,1.0283013749280432,1.0291982309435517,1.0279566349944045,1.0289595320405531
p a k u,4,-12.5362964761926,-12.506036673769765,-15.09865901897832,-14.458628273822779,-15.069511431524727,-14.44878337712193,1.3231058602729333,1.3280753101613236,1.3230032660746807,1.3280052396615252,1.0324578999233625,1.0345674645561218,1.0320456352154315,1.0342696167929113
p a k u,4,-12.5362964761926,-12.506036673769765,-15.09865901897832,-14.458628273822779,-15.069511431524727,-14.44878337712193,1.3231058602729333,1.3280753101613236,1.3230032660746807,1.3280052396615252,1.0324578999233625,1.0345674645561218,1.0320456352154315,1.0342696167929113
p a k e,4,-10.983985913221964,-10.963984576939968,-12.346758482535787,-12.149783742078565,-12.350379688905004,-12.152476897456108,1.426270061733334,1.4367903137129552,1.4260864060881508,1.4366626084096712,1.0288256213238491,1.0299941474464234,1.0284723647520115,1.029746680522257
p a k e,4,-10.983985913221964,-10.963984576939968,-12.346758482535787,-12.149783742078565,-12.350379688905004,-12.152476897456108,1.426270061733334,1.4367903137129552,1.4260864060881508,1.4366626084096712,1.0288256213238491,1.0299941474464234,1.0284723647520115,1.029746680522257
p a k o,4,-11.246090605981314,-11.250951733980958,-9.893192917156968,-9.780974487725754,-9.899347108148682,-9.785300758310695,1.3639970791458034,1.3786465700085788,1.3638623546027058,1.3785496893673272,1.0377752562236806,1.0385547219109392,1.0372766084711598,1.0382129494938719
p a k o,4,-11.246090605981314,-11.250951733980958,-9.893192917156968,-9.780974487725754,-9.899347108148682,-9.785300758310695,1.3639970791458034,1.3786465700085788,1.3638623546027058,1.3785496893673272,1.0377752562236806,1.0385547219109392,1.0372766084711598,1.0382129494938719
p a b a,4,-11.101120994878292,-11.081003985125546,-10.122777561562566,-9.889756873631722,-10.129687468814032,-9.894642697032006,1.4505850571005952,1.4665076688760033,1.4503823734540808,1.4663643528704013,1.0390202468036738,1.0418321786715057,1.0385018188685753,1.041455282285395
p a b a,4,-11.101120994878292,-11.081003985125546,-10.122777561562566,-9.889756873631722,-10.129687468814032,-9.894642697032006,1.4505850571005952,1.4665076688760033,1.4503823734540808,1.4663643528704013,1.0390202468036738,1.0418321786715057,1.0385018188685753,1.041455282285395
p a b i,4,-11.630937389305284,-11.590743047990797,-12.799836443655817,-12.185210066926684,-12.803182278881923,-12.18858707439496,1.4142997172765923,1.4226344365004462,1.414125544897619,1.4225143797051063,1.044075479906089,1.0473407396826986,1.0434749272455002,1.0469031595698721
p a b i,4,-11.630937389305284,-11.590743047990797,-12.799836443655817,-12.185210066926684,-12.803182278881923,-12.18858707439496,1.4142997172765923,1.4226344365004462,1.414125544897619,1.4225143797051063,1.044075479906089,1.0473407396826986,1.0434749272455002,1.0469031595698721
p a b u,4,-12.789515803874234,-12.703728037872319,-15.320960891395899,-14.671907846500002,-15.291183925537776,-14.661568804049924,1.3317683561082718,1.3389361136073914,1.331659032886843,1.3388604291271362,1.0301829504172293,1.0322104939899686,1.0298080886689143,1.0319395925601769
p a b u,4,-12.789515803874234,-12.703728037872319,-15.320960891395899,-14.671907846500002,-15.291183925537776,-14.661568804049924,1.3317683561082718,1.3389361136073914,1.331659032886843,1.3388604291271362,1.0301829504172293,1.0322104939899686,1.0298080886689143,1.0319395925601769
p a b e,4,-11.237205240903599,-11.161675941042521,-10.370603129587938,-10.082673547134755,-10.377421085053614,-10.087524103674511,1.4349325575686724,1.447651117159023,1.4347421729003131,1.4475177978752822,1.0415291402693168,1.0448446959744653,1.0409699541371231,1.0444346129219333
p a b e,4,-11.237205240903599,-11.161675941042521,-10.370603129587938,-10.082673547134755,-10.377421085053614,-10.087524103674511,1.4349325575686724,1.447651117159023,1.4347421729003131,1.4475177978752822,1.0415291402693168,1.0448446959744653,1.0409699541371231,1.0444346129219333
p a b o,4,-11.499309933662948,-11.448643098083512,-10.37249227080608,-10.113693624505782,-10.37903429186707,-10.118304385549495,1.3726595749811419,1.3895073734546466,1.372518121414868,1.3894048788329383,1.0339275675301294,1.0363211787846698,1.0334918726518214,1.0360049929925572
p a d a,4,-10.71532900974392,-10.730014733084081,-9.641697360495355,-9.53593118854953,-9.647975855398775,-9.540387457321492,1.4196740142693658,1.4386942156750302,1.4194953423081167,1.4385652765231742,1.028747012504902,1.0326642511803363,1.0283944999656314,1.0323868451711204
p a d a,4,-10.71532900974392,-10.730014733084081,-9.641697360495355,-9.53593118854953,-9.647975855398775,-9.540387457321492,1.4196740142693658,1.4386942156750302,1.4194953423081167,1.4385652765231742,1.028747012504902,1.0326642511803363,1.0283944999656314,1.0323868451711204
p a d i,4,-11.245145404170913,-11.239753795949332,-12.434249142401475,-11.988879396145197,-12.436897024804225,-11.991758013179044,1.383388674445363,1.3948209832994731,1.383238513751655,1.394715303357879,1.0315929215107063,1.0340512542084344,1.0311941757926408,1.0337585686166668
p a d i,4,-11.245145404170913,-11.239753795949332,-12.434249142401475,-11.988879396145197,-12.436897024804225,-11.991758013179044,1.383388674445363,1.3948209832994731,1.383238513751655,1.394715303357879,1.0315929215107063,1.0340512542084344,1.0311941757926408,1.0337585686166668
p a d u,4,-12.403723818739863,-12.352738785830853,-15.248750556642303,-14.818749122977017,-15.217292409949327,-14.806975933359094,1.3008573132770425,1.3111226604064183,1.3007720017408788,1.3110613527799089,1.0242160257982929,1.025833293663742,1.0239371213463135,1.0256311392417015
p a d u,4,-12.403723818739863,-12.352738785830853,-15.248750556642303,-14.818749122977017,-15.217292409949327,-14.806975933359094,1.3008573132770425,1.3111226604064183,1.3007720017408788,1.3110613527799089,1.0242160257982929,1.025833293663742,1.0239371213463135,1.0256311392417015
p a d e,4,-10.851413255769227,-10.810686689001056,-9.466945914694694,-9.412735433871223,-9.473400545293616,-9.41728847059365,1.404021514737443,1.41983766395805,1.4038551417543488,1.419718721528055,1.0283725507936121,1.0313004079931927,1.0280261215673405,1.031038026431756
p a d e,4,-10.851413255769227,-10.810686689001056,-9.466945914694694,-9.412735433871223,-9.473400545293616,-9.41728847059365,1.404021514737443,1.41983766395805,1.4038551417543488,1.419718721528055,1.0283725507936121,1.0313004079931927,1.0280261215673405,1.031038026431756
p a d o,4,-11.113517948528576,-11.097653846042046,-8.605625861209603,-8.51200990747049,-8.61252513062033,-8.516887874351209,1.3417485321499125,1.3616939202536735,1.341631090268904,1.3616058024857107,1.024627933680712,1.0280279379475112,1.0243423375844334,1.0278016067588553
p a d o,4,-11.113517948528576,-11.097653846042046,-8.605625861209603,-8.51200990747049,-8.61252513062033,-8.516887874351209,1.3417485321499125,1.3616939202536735,1.341631090268904,1.3616058024857107,1.024627933680712,1.0280279379475112,1.0243423375844334,1.0278016067588553
p a g a,4,-11.954589709533899,-11.951237833914107,-10.781272987636696,-10.725155249211651,-10.790947622283516,-10.731748643963673,1.416823534870558,1.4348866226476655,1.4166470771605246,1.434759651651568,1.0358855685295025,1.0368917656949983,1.0354173025697002,1.0365677423121895
p a g i,4,-12.484406103960891,-12.460976896779357,-15.286297262420188,-14.886357491024734,-15.286833683450983,-14.88743839109031,1.380538195046555,1.3910133902721085,1.380390248604063,1.3909096784862727,1.025400640613382,1.0268903186433094,1.0251027074175598,1.026676473776889
p a g i,4,-12.484406103960891,-12.460976896779357,-15.286297262420188,-14.886357491024734,-15.286833683450983,-14.88743839109031,1.380538195046555,1.3910133902721085,1.380390248604063,1.3909096784862727,1.025400640613382,1.0268903186433094,1.0251027074175598,1.026676473776889
p a g u,4,-13.642984518529842,-13.573961886660879,-15.499890365577386,-14.85343298723993,-15.473475460246263,-14.845525120917603,1.2980068338782345,1.3073150673790537,1.2979237365932867,1.3072557279083026,1.025662763811285,1.0274560239294523,1.0253605722963635,1.027235947107914
p a g u,4,-13.642984518529842,-13.573961886660879,-15.499890365577386,-14.85343298723993,-15.473475460246263,-14.845525120917603,1.2980068338782345,1.3073150673790537,1.2979237365932867,1.3072557279083026,1.025662763811285,1.0274560239294523,1.0253605722963635,1.027235947107914
p a g e,4,-12.090673955559206,-12.031909789831083,-12.87184651927984,-12.954260702134215,-12.875001009873827,-12.95553994891354,1.401171035338635,1.4160300709306852,1.4010068766067567,1.4159130966564486,1.024913840388705,1.0262301732515673,1.024623815499782,1.0260236007167893
p a f a,4,-12.317637744738724,-12.411038897821408,-12.846862319527972,-12.832706419329796,-12.852926403014434,-12.83632252277819,1.406050943895842,1.4198670138667382,1.405882854330015,1.4197478065495046,1.0215855268865268,1.0228505772726768,1.0213489108752225,1.022680363123594
