Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1696884851635,09/10/2023 20:54:11,1696884850335,-4,09/10/2023 16:54:10,121155,36,questionnaire-yepb,,32121063,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Final message,4,SoundCheckPassed,3,test passed,,,6,,,,,,yes,No,3956
1,1696889898079,09/10/2023 22:18:18,1696889898125,-5,09/10/2023 17:18:18,121155,36,questionnaire-yepb,,32122224,BLIND,9498087,,complete,,652469f5e3d34d996cb86916,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1369x671,1366x667,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,3,,yes,No,2348
1,1696887701157,09/10/2023 21:41:41,1696887700985,-5,09/10/2023 16:41:40,121155,36,questionnaire-yepb,,32121939,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Final message,4,SoundCheckPassed,4,test passed,,,,5,,,,,yes,No,3077
1,1696887662014,09/10/2023 21:41:02,1696887661873,-4,09/10/2023 17:41:01,121155,36,questionnaire-yepb,,32121920,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,7,,,,yes,No,5056
1,1696889026796,09/10/2023 22:03:46,1696889025206,-6,09/10/2023 16:03:45,121155,36,questionnaire-yepb,,32122154,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,3,yes,No,2470
1,1696890157218,09/10/2023 22:22:37,1696890156987,-4,09/10/2023 18:22:36,121155,36,questionnaire-yepb,,32122247,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,2,,,yes,No,2678
1,1696892693725,09/10/2023 23:04:53,1696892693775,-5,09/10/2023 18:04:53,121155,36,questionnaire-yepb,,32122433,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Final message,4,SoundCheckPassed,2,test passed,,4,,,,,,,yes,No,12479
1,1696892698786,09/10/2023 23:04:58,1696892700182,-4,09/10/2023 19:05:00,121155,36,questionnaire-yepb,,32122435,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,1,yes,No,1351
1,1696893468647,09/10/2023 23:17:48,1696893469144,-7,09/10/2023 16:17:49,121155,36,questionnaire-yepb,,32122465,BLIND,9498522,,complete,,652484d5d104cb805ae3922a,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,1,,,yes,No,5842
1,1696893087288,09/10/2023 23:11:27,1696893086532,-5,09/10/2023 18:11:26,121155,36,questionnaire-yepb,,32122451,BLIND,9498523,,complete,,6524853c40d984bd46506077,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Final message,4,SoundCheckPassed,4,test passed,,,,2,,,,,yes,No,1313
