Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1696884094771,09/10/2023 20:41:34,1696884093676,-4,09/10/2023 16:41:33,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696884102172,09/10/2023 20:41:42,1696884100944,-4,09/10/2023 16:41:40,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7226.300000000279,,,,,0,1,0,,,,,,Instructions,
3,1696884104809,09/10/2023 20:41:44,1696884103264,-4,09/10/2023 16:41:43,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2312.7000000001863,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696884107451,09/10/2023 20:41:47,1696884106412,-4,09/10/2023 16:41:46,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5460.700000000186,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696884109263,09/10/2023 20:41:49,1696884108048,-4,09/10/2023 16:41:48,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,7094.600000000093,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696884110849,09/10/2023 20:41:50,1696884109610,-4,09/10/2023 16:41:49,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1553.7000000001863,,,,,0,1,0,,,,,,Audio Check,cura
7,1696884111015,09/10/2023 20:41:51,1696884109612,-4,09/10/2023 16:41:49,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,,,END TASK,,,,,15936,,,,,0,1,0,,,,,,,
1,1696886204843,09/10/2023 21:16:44,1696886202475,-7,09/10/2023 14:16:42,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696886249530,09/10/2023 21:17:29,1696886247202,-7,09/10/2023 14:17:27,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,44680,,,,,0,1,0,,,,,,Instructions,
3,1696886252681,09/10/2023 21:17:32,1696886250358,-7,09/10/2023 14:17:30,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3135,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696886256480,09/10/2023 21:17:36,1696886252903,-7,09/10/2023 14:17:32,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5680,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696886256755,09/10/2023 21:17:36,1696886254296,-7,09/10/2023 14:17:34,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,7073,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696886260425,09/10/2023 21:17:40,1696886257479,-7,09/10/2023 14:17:37,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,3177,,,,,0,1,0,,,,,,Audio Check,cura
7,1696886260663,09/10/2023 21:17:40,1696886257486,-7,09/10/2023 14:17:37,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,55011,,,,,0,1,0,,,,,,,
1,1696886506573,09/10/2023 21:21:46,1696886506407,-5,09/10/2023 16:21:46,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696886515509,09/10/2023 21:21:55,1696886515384,-5,09/10/2023 16:21:55,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8965.5,,,,,0,1,0,,,,,,Instructions,
3,1696886526442,09/10/2023 21:22:06,1696886526316,-5,09/10/2023 16:22:06,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,10928.699999809265,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696886529104,09/10/2023 21:22:09,1696886528990,-5,09/10/2023 16:22:08,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,13602.699999809265,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
